id,area,available_icu_beds_with_ventilator,pincode,district,last_updated_date,total_beds_without_oxygen,available_beds_without_oxygen,total_icu_beds_without_ventilator,total_beds_with_oxygen,hospital_phone,last_updated_time,hospital_name,available_icu_beds_without_ventilator,total_icu_beds_with_ventilator,available_beds_with_oxygen,hospital_address,last_updated_on
20,Hyderabad,5,500044,Hyderabad,02/05/2021,36,36,-1,0,9866349244,07:49:51 AM,S R R I T  C D GOVT FEVER HOSPITAL,-1,100,0,"2-1-395, Nallakunta Main Rd, AP Housing Board, New Nallakunta, Hyderabad, Telangana 500044, India",1619921991000
21,Jagtial,0,505327,Jagtial,02/05/2021,20,15,-1,50,9849553737,08:24:10 AM,AH JAGITYAL,-1,10,10,"Temple Rd, Arvind Nagar, Vani Nagar, Jagtial, Telangana 505327, India",1619924050000
22,Jagtial,0,505327,Jagtial,02/05/2021,37,29,-1,10,9948966077,12:43:07 PM,CHC METPALLY,-1,0,4,"Gollapally Rd, Ashok Nagar, Krishnanagar, Jagtial, Telangana 505327, India",1619939587000
23,Jangaon,0,,Jangaon,02/05/2021,38,27,-1,30,9346349960,08:19:46 AM,DH JANAGAM,-1,16,0,,1619923786000
24,Jayashankar,1,506169,Jayashankar,02/05/2021,87,28,-1,8,9491144793,08:21:02 AM,AREA HOSPITAL SCCL- BHOOPALAPALLY,-1,5,0,"Manjoor Nagar, Bhupalpally, Telangana 506169, India",1619923862000
25,Jayashankar,0,,Jayashankar,02/05/2021,10,10,-1,30,9705462662,09:29:02 AM,CHC CHITYAL,-1,0,19,,1619927942000
26,Jayashankar,0,505504,Jayashankar,02/05/2021,18,17,-1,2,9491364812,08:01:28 AM,CHC MAHADEVPUR,-1,0,0,"Mahadevpur, Telangana 505504, India",1619922688000
27,Jayashankar,0,506169,Jayashankar,02/05/2021,80,66,-1,10,8639942099,07:33:09 AM,DH BHUPALPALLY,-1,0,10,"Bhupalpally, Telangana 506169, India",1619920989000
28,Jogulamba,0,509152,Jogulamba,02/05/2021,10,10,-1,0,9640949141,09:42:59 AM,AH ALAMPUR,-1,0,0,"Temple Road, Alampur, Gadwal, Telangana 509152, India",1619928779000
29,Jogulamba,20,509125,Jogulamba,02/05/2021,40,16,-1,50,6305439971,10:13:33 AM,DH GADWAL,-1,20,4,"Momin Mohalla, Gadwal, Telangana 509125, India",1619930613000
30,Kamareddy,0,503111,Kamareddy,02/05/2021,75,74,-1,12,9985708151,10:19:08 AM,AH BANSWADA,-1,0,12,"Ashok nagar colony, Kamareddy, Ashok Nagar, Kamareddy, Telangana 503111, India",1619930948000
31,Kamareddy,0,503123,Kamareddy,02/05/2021,20,20,-1,2,9440135380,11:19:00 AM,AH DOMAKONDA,-1,0,2,"Domakonda, Telangana 503123, India",1619934540000
32,Kamareddy,0,503111,Kamareddy,02/05/2021,10,10,-1,2,9422173492,11:26:21 AM,CHC MADHNOOR,-1,0,2,"Kamareddy Station Rd, Padmajiwadi X Road, Kamareddy, Telangana 503111, India",1619934981000
33,Kamareddy,0,503111,Kamareddy,02/05/2021,7,6,-1,3,9848090968,02:49:12 PM,CHC YELLAREDDY,-1,0,2,"Kamareddy Station Rd, Padmajiwadi X Road, Kamareddy, Telangana 503111, India",1619947152000
34,Kamareddy,10,503111,Kamareddy,02/05/2021,73,28,-1,20,9848346657,10:23:51 AM,DH KAMAREDDY,-1,20,6,"Government Degree college Rd, Kamareddy, Telangana 503111, India",1619931231000
35,Karimnagar,24,505001,Karimnagar,02/05/2021,61,61,-1,195,9441701979,10:29:53 AM,DISTRICT HOSPITAL - KARIMNAGAR,-1,33,39,"Christian Colony, Karimnagar, Telangana 505001, India",1619931593000
36,Karimnagar,10,505498,Karimnagar,02/05/2021,15,15,-1,0,7013873200,11:11:31 AM,HUZURABAD CHC,-1,10,0,"KC Camp, Huzurabad, Telangana 505498, India",1619934091000
37,Khammam,0,507302,Khammam,02/05/2021,15,15,-1,0,9494601892,09:17:12 AM,CHC PENUBALLI,-1,0,0,"V M Banjar, National Highway 221, Penuballi, Telangana 507302, India",1619927232000
38,Khammam,0,507002,Khammam,02/05/2021,16,10,-1,20,9848506271,10:43:58 AM,CHC SATHUPALLY,-1,0,14,"Nehru Nagar, Khammam, Telangana 507002, India",1619932438000
39,Khammam,0,507002,Khammam,02/05/2021,50,50,-1,220,8008553209,09:21:49 AM,DISTRICT HOSPITAL-KHAMMAM,-1,50,60,"Nehru Nagar, Khammam, Telangana 507002, India",1619927509000
40,Komaram Bheem,5,504293,Komaram Bheem,02/05/2021,8,8,-1,40,9618234484,10:37:26 AM,CHC ASIFABAD,-1,5,22,"Asifabad (CT), Telangana 504293, India",1619932046000
41,Komaram Bheem,4,504293,Komaram Bheem,02/05/2021,22,22,-1,0,7671029978,11:03:43 AM,CHC SIRPUR(T),-1,4,0,"Kallegaon, Telangana 504293, India",1619933623000
42,Komaram Bheem,5,504293,Komaram Bheem,02/05/2021,0,0,-1,60,9618234484,10:23:29 AM,DH ASIFABAD,-1,5,42,"Kallegaon, Telangana 504293, India",1619931209000
43,Mahabubabad,0,506101,Mahabubabad,02/05/2021,10,0,-1,10,9652759857,10:32:26 AM,CHC-GUDUR,-1,0,0,"Railway Station Rd, Mahabubabad, Telangana 506101, India",1619931746000
44,Mahabubabad,10,506101,Mahabubabad,02/05/2021,2,2,-1,40,8008553175,10:32:02 AM,DH MAHABUBABAD,-1,12,2,"Railway Station Rd, Mahabubabad, Telangana 506101, India",1619931722000
45,Mahabubnagar,0,509301,Mahabubnagar,02/05/2021,5,5,-1,0,9946637152,08:52:53 AM,CHC BADEPALLY / JADCHERLA,-1,0,0,"Badepalle, Telangana 509301, India",1619925773000
46,Mahabubnagar,34,509001,Mahabubnagar,02/05/2021,270,247,-1,170,9292307228,08:58:56 AM,GOVT GENERAL HOSPITAL- MAHABUBNAGAR,-1,60,33,"PR Colony, Mahbubnagar, Telangana 509001, India",1619926136000
47,Mancherial,4,504301,Mancherial,01/05/2021,60,21,-1,30,9491145017,10:13:01 AM,AREA HOSPITAL SCCL- RAMAKRISHNAPUR,-1,16,0,"Nagarjuna Colony, Bhagath Singh Nagar, Ramakrishnapur, Telangana 504301, India",1619844181000
48,Mancherial,0,504208,Mancherial,02/05/2021,21,21,-1,0,8019364366,02:32:02 PM,CHC BELLAMPALLY,-1,0,0,"Bellampalli Chowrastha, 12-493, Mancherial Rd, Indra Nagar, Iqbal Ahmed Nagar, Mancherial, Telangana 504208, India",1619946122000
49,Medak,1,502313,Medak,02/05/2021,0,0,-1,49,9989800907,12:45:37 PM,AH NARSAPUR,-1,1,38,"Narsapur, Telangana 502313, India",1619939737000
50,Medak,0,502334,Medak,02/05/2021,20,14,-1,17,9542273116,02:17:36 PM,CHC TOOPRAN,-1,0,16,"Medak, National Highway 44, Nizamabad - Hyderabad Rd, Tupran, Telangana 502334, India",1619945256000
51,Medak,2,502110,Medak,01/05/2021,40,29,-1,92,9440006739,07:36:29 PM,DH MEDAK,-1,8,69,"Wesley College Road Mission Compound, Mission Compound, Medak, Medak U, Telangana 502110, India",1619877989000
52,Medchal,0,501301,Medchal,02/05/2021,22,22,-1,10,8008553861,02:43:20 PM,CHC GHATKESAR,-1,0,5,"Hyderabad-Warangal High Way Warangal, Hyderabad Road, Balaji Nagar, Ghatkesar, Telangana 501301, India",1619946800000
53,Mulugu,0,506343,Mulugu,02/05/2021,63,2,-1,32,9949789769,11:24:52 AM,CHC ETURNAGARAM,-1,0,3,"Mulugu, Telangana 506343, India",1619934892000
54,Mulugu,0,506343,Mulugu,02/05/2021,183,120,-1,54,9963701614,07:32:37 AM,DH MULUGU,-1,6,27,"Mulugu, Telangana 506343, India",1619920957000
55,Nagarkurnool,10,518002,Nagarkurnool,02/05/2021,0,0,-1,40,9959554285,12:15:21 PM,DH NAGARKURNOOL,-1,10,3,"Abbas Nagar Main Road, Nagarkurnool, Srinagar - Kanyakumari Hwy, Srinagar, Kurnool, Telangana 518002, India",1619937921000
56,Nalgonda,0,508001,Nalgonda,02/05/2021,40,23,-1,20,9912384037,10:21:26 AM,AH NAGARJUNA SAGAR,-1,0,12,"6-6-443 Hyderabad Road Ravinder Nagar Colony, opp Reliance Trends, Ravinder Nagar Colony, Vivekananda Nagar Colony, Nalgonda, Telangana 508001, India",1619931086000
57,Nalgonda,0,508207,Nalgonda,02/05/2021,70,50,-1,50,9848170330,01:33:48 PM,AREA HOSPITAL - MIRYALGUDA,-1,0,24,"Doctors Colony, Miryalaguda, Telangana 508207, India",1619942628000
58,Nalgonda,0,508248,Nalgonda,02/05/2021,10,3,-1,10,9440525406,12:21:03 PM,CHC DEVERAKONDA,-1,0,5,"Devarakonda, Telangana 508248, India",1619938263000
59,Nalgonda,0,508211,Nalgonda,02/05/2021,6,5,-1,2,8142292229,08:24:56 AM,CHC NAKKREKAL,-1,0,1,"Sri Vinayakanagar, Nakrekal, Telangana 508211, India",1619924096000
60,Nalgonda,41,508003,Nalgonda,02/05/2021,200,100,-1,124,9440152233,01:12:11 PM,"GOVT GENERAL HOSPTIAL, NALGONDA",-1,56,0,"Rahamath Nagar, Ramgiri, Rahamath Nagar, Ramgiri, Nalgonda, Telangana 508003, India",1619941331000
61,Narayanpet,0,509210,Narayanpet,02/05/2021,22,7,-1,60,9848491330,11:14:15 AM,DH NARAYANPET,-1,0,48,"Narayanpet, Telangana 509210, India",1619934255000
62,Nirmal,5,504103,Nirmal,02/05/2021,10,6,-1,25,9959154158,11:50:50 AM,AH BHAINSA,-1,5,18,"Bhainsa, Telangana 504103, India",1619936450000
63,Nirmal,4,504106,Nirmal,02/05/2021,30,13,-1,65,9059745569,08:32:51 AM,DH NIRMAL,-1,10,33,"Eidgoan, Nirmal, Telangana 504106, India",1619924571000
64,Nizamabad,4,,Nizamabad,02/05/2021,20,17,-1,76,9000957775,08:44:36 AM,AH BODHAN,-1,4,40,,1619925276000
65,Nizamabad,10,503002,Nizamabad,02/05/2021,20,20,-1,50,7660019852,06:50:48 AM,ARMOOR CHC,-1,10,50,"Near Laxmi Tvs Show Room Armoor Road, Maruthi Nagar, Kanteshwar, Nizamabad, Telangana 503002, India",1619918448000
66,Nizamabad,30,503001,Nizamabad,02/05/2021,131,74,-1,300,9989240172,12:27:39 PM,GOVERNMENT GENERAL HOSPTIAL - NIZAMABAD,-1,90,27,"beside Bus stand, Khaleelwadi, Nizamabad, Telangana 503001, India",1619938659000
67,Peddapalli,0,505208,Peddapalli,02/05/2021,0,0,-1,50,9849126140,10:14:05 AM,AH GODAVARIKHANI / RAMAGUNDAM,-1,0,24,"505208, Srinagar Colony, Godavarikhani, Ramagundam, Telangana 505208, India",1619930645000
68,Peddapalli,18,505209,Peddapalli,01/05/2021,69,35,-1,19,9491144960,04:48:10 PM,AREA HOSPITAL SCCL- RAMAGUNDAM,-1,18,8,"Godavarikhani, Ram Nagar, Godavarikhani, Ramagundam, Telangana 505209, India",1619867890000
69,Peddapalli,0,505172,Peddapalli,02/05/2021,28,28,-1,0,9494853905,10:13:32 AM,CHC MANTHANI,-1,0,0,"Peddapalli Junction, Kazipet, Peddapalli, Telangana 505172, India",1619930612000
70,Peddapalli,0,505172,Peddapalli,02/05/2021,0,0,-1,42,9949016111,08:05:33 AM,DH PEDDAPALLY,-1,0,28,"Peddapalli Junction, Kazipet, Peddapalli, Telangana 505172, India",1619922933000
71,Rajanna,0,505301,Rajanna,02/05/2021,13,7,-1,105,9985003080,08:05:14 AM,DH SIRCILLA,-1,10,25,"Rajanna Sircilla, Sircilla, Telangana 505301, India",1619922914000
72,Rangareddy,0,,Rangareddy,02/05/2021,40,36,-1,10,8008553912,07:37:39 AM,AH VANASTHALIPURAM,-1,0,10,,1619921259000
73,Rangareddy,0,501503,Rangareddy,02/05/2021,20,20,-1,0,8008553862,08:01:20 AM,CHC CHEVELLA,-1,0,0,"Chevella, Telangana 501503, India",1619922680000
74,Rangareddy,0,501505,Rangareddy,30/04/2021,16,16,-1,0,8008553863,06:45:40 PM,CHC HAYATHNAGAR,-1,0,0,"Veerbhadra Colony, IPM Blood Bank Colony, Hayathnagar_Khalsa, Telangana 501505, India",1619788540000
75,Rangareddy,0,,Rangareddy,02/05/2021,17,17,-1,0,9966803676,11:48:00 AM,CHC MAHESHWARAM,-1,0,0,,1619936280000
76,Rangareddy,0,500030,Rangareddy,01/05/2021,4,4,-1,0,8008553865,05:02:41 PM,CHC RAJENDERNAGAR,-1,0,0,"Premavathipet, Telangana 500030, India",1619868761000
77,Rangareddy,0,509216,Rangareddy,01/05/2021,6,6,-1,0,8328167440,04:35:45 PM,CHC SHADNAGAR,-1,0,0,"Shadnagar, Telangana 509216, India",1619867145000
78,Rangareddy,5,500032,Rangareddy,02/05/2021,10,10,-1,62,9440061197,09:06:32 AM,DH KONDAPUR,-1,38,57,"Shri Kotla Vijayabhaskara Reddy Botanical Garden, Kothaguda Reserve Forest, Gachibowli Road, Near Hi-tec City, Kondapur, Telangana 500032, India",1619926592000
79,Rangareddy,0,500032,Rangareddy,02/05/2021,281,190,-1,843,9494902900,07:38:35 AM,"TIMS, GACHIBOWLI FACILITY",-1,137,413,"Gachibowli, Hyderabad, Telangana 500032, India",1619921315000
80,Sangareddy,2,502295,Sangareddy,02/05/2021,48,48,-1,20,6281391780,01:26:57 PM,AH JOGIPET,-1,2,20,"State Highway 17, Vidya Nagar Colony, Sangareddy, Telangana 502295, India",1619942217000
81,Sangareddy,2,502295,Sangareddy,02/05/2021,50,50,-1,12,9346440041,09:03:19 AM,AH NARAYANKHED,-1,8,11,"State Highway 17, Vidya Nagar Colony, Sangareddy, Telangana 502295, India",1619926399000
82,Sangareddy,0,502001,Sangareddy,02/05/2021,0,0,-1,69,9908663194,09:42:17 AM,AH PATANCHERU,-1,0,69,"Vidya Nagar Colony, Sangareddy, Telangana 502001, India",1619928737000
83,Sangareddy,2,502001,Sangareddy,02/05/2021,8,8,-1,60,9948095881,11:28:18 AM,AH ZAHEERABAD,-1,9,57,"Rajampet, Sangareddy, Telangana 502001, India",1619935098000
84,Sangareddy,0,502291,Sangareddy,02/05/2021,50,50,-1,0,9849077415,09:53:32 AM,CHC SADASHIVPET,-1,0,0,"71,, 4-3-71, Ram Mandir Rd, Ravindra Nagar, Sadashivpet, Telangana 502291, India",1619929412000
85,Sangareddy,0,,Sangareddy,02/05/2021,0,0,-1,180,9542099858,02:38:35 PM,D.H. SANGAREDDY ,-1,20,75,,1619946515000
86,Siddipet,0,502278,Siddipet,02/05/2021,0,0,-1,0,9246969139,07:56:13 AM,AH GAJWEL,-1,0,0,"GF 8-161 Block No 8 Pedichad Road to MM Court Road Gajwel Main Road Siddipet, District, Gajwel, Telangana 502278, India",1619922373000
87,Siddipet,0,506223,Siddipet,02/05/2021,0,0,-1,0,8919663625,08:01:45 AM,CHC CHERIYAL,-1,0,0,"Cherial, Telangana 506223, India",1619922705000
88,Siddipet,0,502103,Siddipet,02/05/2021,0,0,-1,0,8328158006,11:29:42 AM,CHC DUBBAK,-1,0,0,"near Komati Cheruvu, Islampura, Siddipet, Telangana 502103, India",1619935182000
89,Siddipet,0,,Siddipet,02/05/2021,0,0,-1,0,9959715715,10:00:19 AM,CHC NANGUNOOR,-1,0,0,,1619929819000
90,Siddipet,0,502103,Siddipet,02/05/2021,0,0,-1,325,9848334447,08:33:01 AM,GOVERNMENT MEDICAL COLLEGE AND GENERAL HOSPITAL SIDDIPET,-1,35,259,"near Komati Cheruvu, Islampura, Siddipet, Telangana 502103, India",1619924581000
91,Suryapet,0,508213,Suryapet,02/05/2021,0,0,-1,0,9666904145,11:53:44 AM,AH HUZURNAGAR,-1,0,0,"Thallagadda, Suryapet, Telangana 508213, India",1619936624000
92,Suryapet,0,508213,Suryapet,01/05/2021,15,15,-1,5,8309972445,06:44:27 PM,CHC KODADA,-1,0,4,"Thallagadda, Suryapet, Telangana 508213, India",1619874867000
93,Suryapet,17,508213,Suryapet,02/05/2021,80,0,-1,130,9866430995,10:43:59 AM,GOVERNMENT GENERAL HOSPTIAL - SURYAPET,-1,30,53,"Thallagadda, Suryapet, Telangana 508213, India",1619932439000
94,Vikarabad,0,501202,Vikarabad,02/05/2021,10,10,-1,0,8143626911,11:31:43 AM,CHC MARPALLY,-1,0,0,"Marpalle, Telangana 501202, India",1619935303000
95,Vikarabad,0,501101,Vikarabad,02/05/2021,0,0,-1,0,6309371036,11:32:27 AM,CHC VIKARABAD,-1,0,0,"Vikarabad, Telangana 501101, India",1619935347000
96,Vikarabad,0,501141,Vikarabad,02/05/2021,70,34,-1,50,8197973685,11:34:40 AM,D.H. TANDUR,-1,0,50,"PWD (R&B) MAIN ROAD, shanti nagar colony, MALREDDYPALLY (VIL), Tandur, Shantinagar Colony, Indira Nagar, Vikarabad, Telangana 501141, India",1619935480000
97,Wanaparthy,4,509103,Wanaparthy,02/05/2021,12,8,-1,46,8555923516,10:24:56 AM,AH WANAPARTHY,-1,4,24,"Wanaparthy, Telangana 509103, India",1619931296000
98,Wanaparthy,0,509235,Wanaparthy,02/05/2021,10,10,-1,2,9866878558,11:13:03 AM,CHC REVALLY,-1,0,2,"Revally, Telangana 509235, India",1619934183000
99,Warangal Rural,0,506164,Warangal Rural,02/05/2021,24,24,-1,0,9866412022,12:00:47 PM,CHC PARKAL,-1,0,0,"Parakala, Huzurabad Rd, Near Masjid, Parkal, Telangana 506164, India",1619937047000
100,Warangal Rural,0,506313,Warangal Rural,02/05/2021,24,24,-1,0,9849391090,11:44:35 AM,CHC WARDHANNAPET,-1,0,0,"Vardhanapeta, Telangana 506313, India",1619936075000
101,Warangal Rural,0,506001,Warangal Rural,02/05/2021,10,9,-1,20,9440170371,10:30:40 AM,DH NARSAMPET,-1,0,14,"Collectorate Warangal Rural, 1-8-360, NH163, Balasamudram, Hanamkonda, Telangana 506001, India",1619931640000
102,Warangal Urban,0,506001,Warangal Urban,02/05/2021,96,96,-1,4,9849881883,01:21:37 PM,GOVT T.B C.D. HOSPITAL,-1,0,4,"KWC Road, Bank Colony Main Rd, Gopalapuram, Hanamkonda, Telangana 506001, India",1619941897000
103,Warangal Urban,55,506002,Warangal Urban,02/05/2021,410,410,-1,680,9848409171,02:02:16 PM,MAHATMA GANDHI MEMORIAL HOSPITAL,-1,80,342,"MGM hospital, Sherpura, Warangal, Telangana 506002, India",1619944336000
104,Yadadri,0,,Yadadri,02/05/2021,21,21,-1,0,9705767499,10:08:00 AM,CHC ALAIR,-1,0,0,,1619930280000
105,Yadadri,0,508252,Yadadri,02/05/2021,11,11,-1,5,9948595220,07:57:36 AM,CHC CHOUTUPPAL,-1,0,5,"Sangem Rd, Choutuppal, Telangana 508252, India",1619922456000
106,Yadadri,0,508113,Yadadri,02/05/2021,24,24,-1,0,8008553205,10:25:08 AM,CHC RAMANNAPET,-1,0,0,"Bhuvanagiri-Nalgonda Rd, Ramannapeta, Telangana 508113, India",1619931308000
107,Yadadri,0,508116,Yadadri,02/05/2021,25,22,-1,40,7702544000,07:31:40 AM,DH BHONGIR,-1,0,21,"Medikuntapally, Bhongir, Telangana 508116, India",1619920900000
108,Adilabad,1,504001,Adilabad,02/05/2021,11,11,-1,5,8555098068,12:30:45 PM,A.D.B. HOSPITALS,-1,3,4,"Tirupally, Adilabad(U), Telangana 504001, India",1619938845000
109,Adilabad,0,504001,Adilabad,29/04/2021,7,7,-1,3,9505262365,09:21:43 AM,ADILABAD NEURO SUPER SPECIALITY HOSPITAL,-1,0,3,"Muncipal Quarters, Ravindra Nagar Colony, Muncipal Quarters, Ravindra Nagar Colony, Adilabad(U), Telangana 504001, India",1619668303000
110,Adilabad,0,504001,Adilabad,28/04/2021,10,5,-1,5,9908719345,05:50:37 PM,ADITHYA GENERAL HOSPITAL ,-1,5,1,"Unnamed Road, Dwaraka Nagar, Ravindra Nagar Colony, Adilabad(U), Telangana 504001, India",1619612437000
111,Adilabad,0,504001,Adilabad,28/04/2021,18,18,-1,2,9505579000,11:58:25 AM,AGARWAL HOSPITAL,-1,0,2,"Adilabad, NH-44, Ichoda Main Road, Adilabad, Vidya Nagar, Adilabad(U), Telangana 504001, India",1619591305000
112,Adilabad,0,504001,Adilabad,30/04/2021,8,8,-1,2,9440612031,12:57:12 PM,AKHIL ORTHOPEDIC HOSPITAL ,-1,0,2,"4-3-74/62 D, Dwaraka Nagar, Ravindra Nagar Colony, Adilabad(U), Telangana 504001, India",1619767632000
113,Adilabad,5,504001,Adilabad,30/04/2021,7,4,-1,3,9908943787,01:39:27 PM,AMMA HOSPITAL,-1,5,3,"Beside collector chowk, near RIMS, Rickshaw Colony, Adilabad(U), Telangana 504001, India",1619770167000
114,Adilabad,0,504001,Adilabad,01/05/2021,18,18,-1,2,9440441394,06:44:54 PM,AYYAPPA ORTHOPEDIC AND CHILDRENDS HOSPITAL HOSPITAL,-1,0,2,"Ponnar, Ravindra Nagar Colony, Adilabad(U), Telangana 504001, India",1619874894000
115,Warangal Urban,0,506002,Warangal Urban,01/05/2021,6,6,-1,0,9177981213,01:42:15 PM,BALAJI HOSPITAL,-1,0,0,"Swami Vivekananda Rd, opposite Ram Laxman Theatre, Mathawada, Ramannapet, Warangal, Telangana 506002, India",1619856735000
116,Adilabad,7,504001,Adilabad,28/04/2021,7,7,-1,10,7382492683,11:22:44 AM,"CHROME HOSPITAL, ADILABAD ",-1,7,10,"Unnamed Road, Vidya Nagar, Adilabad(U), Telangana 504001, India",1619589164000
117,Adilabad,0,504001,Adilabad,01/05/2021,8,8,-1,2,8686055077,12:44:32 PM,DR.SUNDARAIAH HOSPITAL NEW HOPE LAPROSCOY CENTRE,-1,0,2,"Peoples Nursing Home, Dasnapur, chaitanyapuri, Adilabad(U), Telangana 504001, India",1619853272000
118,Adilabad,0,504001,Adilabad,28/04/2021,7,6,-1,3,9866110729,06:09:28 PM,ELIGHT HOSPITAL,-1,0,3,"Adilabad, NH-44, Ichoda Main Road, Adilabad, Vidya Nagar, Adilabad(U), Telangana 504001, India",1619613568000
119,Adilabad,0,504001,Adilabad,02/05/2021,13,13,-1,2,9603122757,09:17:36 AM,HOLLY TRINITY HOSPITAL,-1,0,2,"Unnamed Road, Vidya Nagar, Adilabad(U), Telangana 504001, India",1619927256000
120,Adilabad,0,504001,Adilabad,27/04/2021,22,22,-1,3,7093824299,08:13:20 PM,"HYDERABAD EYE CENTRE, UNIT SESHANNA CHENNAWAR EYE CENTRE",-1,0,3,"NH 7, Dasnapur, Adilabad(U), Telangana 504001, India",1619534600000
121,Adilabad,0,504001,Adilabad,28/04/2021,7,7,-1,3,8341110011,08:38:16 AM,JANANI MATERNITY HOSPITAL AND DIAGNOSTICS,-1,0,3,"NH-44, Ichoda Main Rd, Muncipal Quarters, Ravindra Nagar Colony, Adilabad(U), Telangana 504001, India",1619579296000
