id,total_beds_allocated_to_covid,available_icu_beds_with_ventilator,pincode,total_beds_without_oxygen,officer_name,hospital_phone,officer_designation,hospital_name,available_icu_beds_without_ventilator,total_icu_beds_with_ventilator,hospital_address,district,total_beds_with_oxygen,available_beds_with_oxygen,last_updated_on,hospital_category,area,fee_regulated_beds,available_beds_without_oxygen,total_icu_beds_without_ventilator,charges
14,500,0,411006,500,No Data Available,0,No Data Available,"Sant Dnyaneshwar Hostel, Yerawada",0,0,"Mental Corner, 40, Yashwantnagar, Katarwadi, Yerawada, Pune, Maharashtra 411006",Pune,0,0,1619943193000,CCC,PMC,0,310,0,Government Free
15,600,0,,50,Shree. Shreenivas Bonala,"020 40151000,020 49153000",Cheif Engineer Project Pune Muncipal Corporation,Deenanath mangeshkar hospital (Erandwane),0,50,"Near, Deenanath Mangeshkar Hospital Road, Mhatre Bridge, Erandwane, Pune, Maharashtra 411004",Pune,500,0,1619942908000,DCHC,PMC,480,0,0,MOU Free
16,186,0,,29,Shree. Shreenivas Bonala,020-66096000,Cheif Engineer Project Pune Muncipal Corporation,Poona Hospital ( Sadashiv Peth ),0,16,"Shivam, 27, Shivram Matre Rd, Nr. Alka Talkies, Ganjwe Wadi, Sadashiv Peth, Pune, Maharashtra 411030",Pune,127,0,1619944635000,DCHC,PMC,176,0,14,MOU Free
17,190,0,,86,Shree.Subhash Bhagade,"+91 98186 46489, +91 20 6193 0044, +91 866 998 8365",Deputy District Officer Land Acquisition District Officer's Office,Symbiosis Hospital ( Lavale),0,24,Pune,Pune,80,0,1619943027000,DCHC,PMC,0,15,0,MOU Free
18,103,0,,0,Shree.Subhash Bhagade,8554948899/020-67400124,Deputy District Officer Land Acquisition District Officer's Office,AIMS Hospital & Research Center ( Aundh),0,5,"Survey No 154, AIMS Rd, Near AIMS Square, Aundh, Pune, Maharashtra 411007",Pune,88,0,1619945104000,DCHC,PMC,40,0,10,MPJAY Free
19,96,0,,22,No Data Available,9850811722,No Data Available,Devyani multispeciality Hospital ( Kothrud),0,2,"Plot No, 121, Lane Number 4, Dahanukar Colony, Kothrud, Pune, Maharashtra 411038",Pune,69,1,1619943670000,DCHC,PMC,56,1,3,MPJAY Free
20,176,0,,34,Shree.Avinash Hadgal,8888821002/ 02066811802/1801,Deputy District Officer & Regional Officer MIDC Pimpari Chinchwad,Jahangir Hospital Pune ( Sangam wadi ),0,22,"32, Sasoon Road Opposite Railway Station, Central Excise Colony, Sangamvadi, Pune, Maharashtra 411001",Pune,112,0,1619887240000,DCHC,PMC,224,0,8,MPJAY Free
21,200,0,,10,Dr.Bharat Waghmare,8788711413,Deputy District Officer & DIstrict Rehabilition Officer District Officers Office,KEM HOSPITAL ( Rasta Peth ),0,18,"Sardar, K.E.M. Hospital, Mudaliar Rd, Rasta Peth, Pune, Maharashtra 411011",Pune,172,0,1619943323000,DCHC,PMC,306,0,0,MPJAY Free
22,80,0,,48,No Data Available,9372030440,No Data Available,Rising Medicare Hospital ( Kharadi),0,1,"Survey No 4, Hissa No 1, Off, Mundhwa - Kharadi Rd, behind Radisson Blu, Kharadi, Pune, Maharashtra 411014",Pune,17,2,1619936736000,DCHC,PMC,80,25,14,MPJAY Free
23,409,0,,122,Shree.Subhash Bhagade,0,Deputy District Officer Land Acquisition District Officer's Office,RUBY HALL CLINIC ( Sasoon rd ),0,41,"40, Sasoon Rd, Sangamvadi, Pune, Maharashtra 411001",Pune,237,0,1619946448000,DCHC,PMC,0,0,9,MPJAY Free
24,50,0,,20,Shree.Avinash Hadgal,"9822040769,9823077204",Deputy District Officer & Regional Officer MIDC Pimpari Chinchwad,Shree Hospital Criticare & Trauma Center Pvt Ltd( Kharadi),0,6,"7/3B (part), Gulmohor Society, Kharadi, Pune 14",Pune,18,0,1619941992000,DCHC,PMC,18,15,6,MPJAY Free
25,402,0,,190,No Data Available,7030010302,No Data Available,smt.Kashibai Navale medical collge and general Hospital ( Narhe Ambegaon ),0,18,"S.No, 49/1, Mumbai Pune Bypass Rd, Narhe - ambegaon Pune, Maharashtra 411041",Pune,182,59,1619941101000,DCHC,PMC,830,127,12,MPJAY Free
26,40,0,,0,No Data Available,9673338199,No Data Available,Surya Sahyadri Hospital ( Kasba Peth),0,9,"1317, Agarwal Rd, Near Shaniwar Wada, Lunanagar, Kasba Peth, Pune, Maharashtra 411011",Pune,30,0,1619932448000,DCHC,PMC,0,0,1,MPJAY Free
27,30,0,411048,10,No Data Available,9975622923,No Data Available,aarya multispecity hospital(kondhwa),0,0,"s.no.7/40,aambedkar nagar,near crown bakery, kondhwa,pune 48",Pune,20,2,1619944513000,DCHC,PMC,0,0,0,Chargeable
28,18,0,,6,No Data Available,9765078515/8484083184,No Data Available,Adhar hospital ( Hadapsar ),0,0,"satav nagar, near green city, handewadi rd, hadapsar, pune 411028",Pune,12,4,1619944654000,DCHC,PMC,0,3,0,Chargeable
29,10,0,411009,0,No Data Available,"8600284699,9146188999",No Data Available,Adhar Hospital (paravti gaon),0,0,"Samrudhhi Heights , opp forest colony paravti gaon pune 411009",Pune,10,0,1619938813000,DCHC,PMC,0,0,0,Chargeable
30,35,0,,11,No Data Available,8446461156,No Data Available,Agarwal Maternity & General  Hospital (Chandan Nagar ),0,0,"Kharadi rd, Sangharsh Chowk, Chandan Nagar, Pune 14",Pune,24,3,1619871372000,DCHC,PMC,0,4,0,Chargeable
31,27,0,,5,No Data Available,"020-26451691, 9922414489",No Data Available,Allince Munot Hospital ( Bhawani Peth ),0,0,"387/5, new tibar market, shankar shet rd, bhawani peth, pune 411042",Pune,14,0,1619945967000,DCHC,PMC,0,2,8,Chargeable
32,12,0,,3,No Data Available,9325362742,No Data Available,AMRUT HOSPITAL ( Yerwada),0,0,"SUDARSHAN COMPLEX , 2 ND FLOOR, NEAR CHITRA TAKIES, OPP KASHMIRI COLONY, YERWADA,PUNE06",Pune,9,0,1619923001000,DCHC,PMC,0,0,0,Chargeable
33,15,0,,8,No Data Available,"9822438909,38001",No Data Available,ANAND HOSP ( DHANKAWADI),0,0,DHANKAWADI PUNE LAST BUS STOP,Pune,5,1,1619932554000,DCHC,PMC,0,4,2,Chargeable
34,6,0,,0,No Data Available,9096422560,No Data Available,Anuja Hospital ( Dhayari ),0,0,"1st Floor, Chavan  Mohite, Complex Chowk, Dhayari,Pune-411041",Pune,6,0,1619938964000,DCHC,PMC,0,0,0,Chargeable
35,15,0,,0,No Data Available,7558277718,No Data Available,ANUP HOSPITAL ( Dattawadi ),0,0,"D- BLDG, RAKSHALEKHA SOC, GAJENDRA NAGAR, DATTAWADI, PUNE 30",Pune,8,0,1619942972000,DCHC,PMC,0,0,7,Chargeable
36,15,0,,0,No Data Available,8010044775,No Data Available,APPLE HOSPITAL ( LOHAGON ),0,1,"APPLE HOSPITAL, LOHAGON,PUNE 47",Pune,14,0,1619444122000,DCHC,PMC,0,0,0,Chargeable
37,13,0,,5,No Data Available,9271717433,No Data Available,"Apple Hospital 2  ( Wadgaon Shinde rd, Lohgaon )",0,0,"Sr.No.289, Gajanan Mangal Karyalya, Wadgaon Shinde rd, Lohgaon Pune 47",Pune,5,0,0,DCHC,PMC,0,0,3,Chargeable
38,6,0,,1,No Data Available,8390877799,No Data Available,Asha Clinic ( Fursungi ),0,0,"Sr.NO.173, Hira Arjun Complex, Old Fursungi rd, Bhekarai Nagar, Fursungi, Pune 412308",Pune,5,3,1619361232000,DCHC,PMC,0,1,0,Chargeable
39,15,0,,7,No Data Available,9881995999,No Data Available,Ashwini Nursing Home ( KHARADI ),0,0,"Sr.No 14/1/1, Thite Wasti, Kharadi, Pune 14",Pune,8,2,1619942882000,DCHC,PMC,0,5,0,Chargeable
40,20,0,,0,No Data Available,9096568819,No Data Available,Astang Multispeciality Hospital ( Sadashiv Peth ),0,0,"Sadashiv Peth. Near SP College, Tilak rd",Pune,20,9,1619943468000,DCHC,PMC,0,0,0,Chargeable
41,78,0,411046,20,No Data Available,8600284699,No Data Available,"Aura Multispeciality Hospital,Ambegaon",0,2,"Fale Nagar, Near Reliance Mall, Dattanagar rd, Ambegaon BK, Pune-411046",Pune,46,0,1619938756000,DCHC,PMC,0,0,10,Chargeable
42,10,0,,0,No Data Available,na,No Data Available,Bavdhan Medicare Center ( Bavdhan),0,0,"plot no 9 sagar soc, bavdhan, pune 411021",Pune,10,4,1619939272000,DCHC,PMC,0,0,0,Chargeable
43,41,0,,6,No Data Available,8830409001,No Data Available,Bhakare Super Speciality Hospital & Research Institute ( Ambegaon BK),0,5,"Bhakare Super Speciality Hospital And research Institute, Jambulwadi Rd, Datta Vihar, Dattanagar, Shani Nagar, Ambegaon BK, Pune, Maharashtra 411046",Pune,28,0,1619938112000,DCHC,PMC,0,0,2,Chargeable
44,20,0,,5,No Data Available,7447496784,No Data Available,Bhandari Hospital( Anand nagar ),0,0,"5 Dhanlaxmi Soc, Aandn Nagar, Pune51",Pune,15,0,1618918778000,DCHC,PMC,0,0,0,Chargeable
45,50,0,,30,Dr. Shubhangi,02040555615,No Data Available,Bharati Hospital ( Ayurvedic ) Dhankawadi,0,2,"3, Bharati Vidyapeeth Campus, Dhankawadi, Pune, Maharashtra 411043",Pune,12,0,1619944009000,DCHC,PMC,100,17,6,Chargeable
46,375,0,,45,Shree. Shreenivas Bonala,9822051716,Cheif Engineer Project Pune Muncipal Corporation,BHARATI HOSPITAL ( Dhankawadi ),0,55,"Pune - Satara Rd, Bharati Vidyapeeth Campus, Dhankawadi, Pune, Maharashtra 411043",Pune,255,0,1619931711000,DCHC,PMC,300,26,20,Chargeable
47,8,0,,0,No Data Available,9822035935,No Data Available,Bora Hospital ( Ganesh Peth ),0,0,"589, Ganesh Peth, Pune 02",Pune,6,0,1619788152000,DCHC,PMC,0,0,2,Chargeable
48,22,0,411015,5,No Data Available,7743871226,No Data Available,Chaitanya clinic ( Vishrantwadi ),0,0,Vishrantwadi pune 15,Pune,17,1,1619926457000,DCHC,PMC,0,2,0,Chargeable
49,10,0,411029,0,No Data Available,7249484455,No Data Available,chaitanya hospital ( warje ),0,0,"bhagirthi nagar , NDA rd warje malwadi pune 29",Pune,10,0,1618561062000,DCHC,PMC,0,0,0,Chargeable
50,14,0,,4,No Data Available,9325208383 / 8007375984,No Data Available,CHANDRA NURSING HOME ( Kondhwa BK ),0,0,"CHANDRA HEIGHTS, SR.NO.54, KONDHWA, KATRAJ RD, KONDHWA BK , PUNE 48",Pune,10,2,1619927232000,DCHC,PMC,0,4,0,Chargeable
51,19,0,,9,No Data Available,7887881499,No Data Available,Chandralok hospital ( Bibwewadi),0,1,"chaitrabal apt, bibwewadi, pune 37",Pune,5,0,1619946908000,DCHC,PMC,0,4,4,Chargeable
52,7,0,,2,No Data Available,9623475007,No Data Available,Chinmay Hospital ( Uttamnagar ),0,0,"Tarachand Complex, Near NDA Police Chowki, Utamnagar,Pune 23",Pune,5,0,1619517907000,DCHC,PMC,0,0,0,Chargeable
53,44,0,411037,6,No Data Available,020 - 2421 2112 / 15 / 16 / 17,No Data Available,Chintamani hospital- Bibwewadi,0,3,"53, Jedhe nagar, rajaram soc, Bibewadi, pune -411037",Pune,30,0,1619936810000,DCHC,PMC,0,0,5,Chargeable
54,15,0,,7,No Data Available,8329140596,No Data Available,City Care Hospital ( Wadgoan Sheri),0,0,"sr.no.3/7 + 8 // 7 A/ A (5) office no 1, datta mandir, Wadgoan sheri pune 14",Pune,8,0,1619587374000,DCHC,PMC,10,0,0,Chargeable
55,30,0,411038,6,No Data Available,9921359090,No Data Available,city hospital ( kothrud),0,0,"motiram complex, opp kachara depo, paud rd, kothrud,pune 38",Pune,24,1,1619864090000,DCHC,PMC,0,2,0,Chargeable
56,52,0,,44,No Data Available,7066010083/7378591700,No Data Available,Colony Nursing Home ( Navi Peth),0,0,"50/51 lakshmi park , navi peth pune 30",Pune,8,2,1619946216000,DCHC,PMC,0,35,0,Chargeable
57,70,0,,19,Shree.Avinash Hadgal,"02071290152, 02071290283",Deputy District Officer & Regional Officer MIDC Pimpari Chinchwad,"Columbia Asia Hospital Kharadi, Pune",0,6,"22/2A, Near Nyati Empire Kharadi",Pune,45,0,1619932540000,DCHC,PMC,68,13,0,Chargeable
58,13,0,,0,No Data Available,0,No Data Available,"Critical health care facility, Pune ( Rasta Peth)",0,4,"opp. Seth Tarachand Ramnath Charitable Hospital, Rasta Peth, Pune, Maharashtra 411011",Pune,9,0,1619873710000,DCHC,PMC,0,0,0,Chargeable
59,20,0,,0,NA,8888405204,No Data Available,CT NURSING HOME ( Dhanori ),0,0,"16, Shree Ram Pride, Dhanori Rd, Madhav Nagar, Dhanori, Pune, Maharashtra 411015",Pune,20,0,1619941240000,DCHC,PMC,0,0,0,Chargeable
60,17,0,,4,No Data Available,8806666063/26064996/26061519,No Data Available,Dhanawantari hospital ( Rasta peth ),0,0,"339-c, near Rupee Coop Bank, Rasta Peth, Pune, Maharashtra 411011",Pune,9,0,1619942824000,DCHC,PMC,17,0,4,Chargeable
61,17,0,411015,12,No Data Available,9373677106,No Data Available,dhanwantari hospital ( dhanori),0,0,"Plot.No 51/246, Bhairav Nagar, Dhanori, Near Ganpati Mandir, Pune, Maharashtra 411015",Pune,5,0,1619893341000,DCHC,PMC,0,9,0,Chargeable
62,8,0,,3,No Data Available,9967685723,No Data Available,Dhanwantari Hospital ( Fursungi ),0,0,"Trimurti Vihar BLDG NO 1, Bhekarrai Nagar, Near Daata Mandir, Pune Saswad rd, Fursungi",Pune,5,4,1619599324000,DCHC,PMC,4,3,0,Chargeable
63,24,0,,10,No Data Available,9923010890,No Data Available,Dr.Mhaske hospital ( Hadapsar),0,0,"sr.no.225/9a+97, near uco bank, gadital, pune solapur rd, hadapsar,pune",Pune,14,2,1619942921000,DCHC,PMC,0,1,0,Chargeable
64,11,0,,6,No Data Available,020-26352520,No Data Available,Gaikwad Hospital ( Hadapsar),0,0,"Mahesh Smruti ,Pune Solapur  rd, Hadapsar ,Pune 28",Pune,5,0,1619941001000,DCHC,PMC,0,0,0,Chargeable
65,30,0,,8,Dr.Rahul,9423876780,No Data Available,Galaxy Care Hospital (Karve rd),0,0,"25 A , KARVE RD, NEAR GARWARE COLLEGE , PUNE 4",Pune,22,0,1619931645000,DCHC,PMC,0,0,0,Chargeable
66,20,0,,5,No Data Available,9822289505,No Data Available,GANGA NURSING HOME (Mundhwa),0,0,NEXT TO PASSPORT OFFICE MUNDHWA RD PUNE 35,Pune,15,0,1619941629000,DCHC,PMC,0,5,0,Chargeable
67,10,0,,0,No Data Available,7498507232,No Data Available,GIRIJA HOSPITAL ( Kothrud),0,0,"SR.NO.87,AAZADNAGAR, KOTHRUD,,PUNE 38",Pune,10,0,1619846536000,DCHC,PMC,10,0,0,Chargeable
68,9,0,,5,No Data Available,7774016902,No Data Available,Global Hospital ( Yerwada ),0,0,"Ganga Complex, Air Port rd, Yerwada, Pune 06",Pune,4,0,1619594024000,DCHC,PMC,0,0,0,Chargeable
69,80,0,,0,No Data Available,9922441114,No Data Available,Global Hospital (Sinhgad rd ),0,2,"577/2, off Sinhgad Road, Police Chaoki Rd, near Dattawadi, Dattawadi, Pune, Maharashtra 411030",Pune,76,0,1619943201000,DCHC,PMC,0,0,2,Chargeable
70,13,0,,6,No Data Available,7038062772,No Data Available,Gurukrupa Hospital ( Dandekar Bridge ),0,0,"263/6 Near Dandekar Bridge, Behind Petrol  Pump, Pune 30",Pune,7,5,1619919731000,DCHC,PMC,0,4,0,Chargeable
71,26,0,,4,No Data Available,7774064091,No Data Available,Hardikar Hospital ( Shivaji nagar),0,3,"1160/61, University Rd, Revenue Colony, Shivajinagar, Pune, Maharashtra 411005",Pune,1,0,1619865983000,DCHC,PMC,0,0,18,Chargeable
72,10,0,,0,No Data Available,020-24267218,No Data Available,Harsh Hospital ( Bibwewadi),0,1,A Commerical BLDG 3rd floor todkar garden bibwewadi kondhwa rd bibwewadi pune 37,Pune,9,0,1619926319000,DCHC,PMC,0,0,0,Chargeable
73,5,0,,0,No Data Available,9422007184,No Data Available,Hope hospital ( New Nana peth ),0,0,"1062, nana peth, rehman chambers, pune 02",Pune,5,1,1619921424000,DCHC,PMC,0,0,0,Chargeable
74,25,0,,6,No Data Available,9067887610,No Data Available,HORIZON HEALTH HOSPITAL ( Fursungi ),0,1,"NARAYAN CHAMBERS, FIRST FLOOR, SR.NO.177/1 , VITTHAL H P PETROL PUMP, BHEKRAI NAGAR, PUNE SASWAD RD, FURSUNGI",Pune,12,1,1619944264000,DCHC,PMC,0,2,6,Chargeable
75,8,0,411006,2,No Data Available,9822502806,No Data Available,Inaam hospital( yerwada),0,0,"191, Jail Rd, Nagpur Chal, Yerawada, Pune, Maharashtra 411006",Pune,6,1,1619770402000,DCHC,PMC,0,2,0,Chargeable
76,37,0,,0,Shree.Mangesh Dighe,9822037000/9372600000/ 9372619218,Environment Officer Pune Muncipal Corporation,INAMDAR Multi Specialty HOSPITAL ( Fatima Nagar ),0,4,"Inamdar Hospital building s No. 15, Fatima Nagar, Pune, Maharashtra 411040",Pune,33,0,1619939020000,DCHC,PMC,37,0,0,Chargeable
77,211,0,,54,Shree.Mangesh Dighe,02066099701/ 02066099717,Environment Officer Pune Muncipal Corporation,INLAKS & BUDHARANI HOSPITAL ( Koregaon park),0,27,"7-9, 1st Ln, Vasani Nagar, Koregaon Park, Pune, Maharashtra 411001",Pune,124,0,1619940815000,DCHC,PMC,161,0,6,Chargeable
78,52,0,,20,No Data Available,"8080772936, 020 24352976, 7769951782, 8999074246,",No Data Available,JAGTAP MULTISPECIALITY HOSPITAL ( Sinhgad rd),0,0,"SINHGAD RD, ANAND NAGAR, NEAR SANTOSH HALL, FRONT OFF BHANDARI HOSP, PUNE 411051",Pune,30,0,1619936497000,DCHC,PMC,0,16,2,Chargeable
79,57,0,,10,No Data Available,020-24369032/33,No Data Available,Jeevandhara Multispeciality Hospital ( Katraj),0,2,"sr.no.84/2-D, first floor, bhagirathi square bldg, morebaugh, katraj chowk, pune 46",Pune,40,0,1619944125000,DCHC,PMC,0,5,5,Chargeable
80,30,0,,5,No Data Available,8390930379,No Data Available,JEEWAN JYOT MULTISPECIALITY MEDICARE CENCRE ( Kharadi),0,1,"SR.NO.43/1, PATHARE DHUBE NAGAR, NEAR VITHHAL MANDIR, KHARADI PUNE 14",Pune,17,0,1619523441000,DCHC,PMC,0,2,7,Chargeable
81,113,0,,13,No Data Available,020-27992799,No Data Available,Jupiter Hospital ( Baner ),0,8,"Near Bharatratna Dr Babasaheb Ambedkar Bridge, Baner Rd, Prathamesh Park, Pimple Nilakh, Pune, Maharashtra 411045",Pune,83,0,1619782516000,DCHC,PMC,113,0,9,Chargeable
82,6,0,,3,No Data Available,9822056049,No Data Available,Kalyani Hospital ( Guruwar Peth ),0,0,"735, Guruwar Peth, Eknath SMruthi, 1st Floor, Rashtra Bhushan Chowk, Shivaji rd, Pune 02",Pune,3,2,1619850183000,DCHC,PMC,0,3,0,Chargeable
83,5,0,,0,No Data Available,9763832111,No Data Available,Kamal Nayan Hospital ( Shukarwar Peth ),0,0,"947, 948, Shivaji rd, Shukarwar  Peth, Pune 02",Pune,5,3,1619945550000,DCHC,PMC,0,0,0,Chargeable
84,44,0,,28,No Data Available,+917378591700,No Data Available,Kasturba Specility Hospital (Visharant Wadi),0,1,"St Francis School, Near, A/99,KasturbaSoc.Off, Airport Rd, Visharant Wadi, Pune, Maharashtra 411015",Pune,9,5,1619885627000,DCHC,PMC,0,10,6,Chargeable
85,10,0,,2,No Data Available,9822523023,No Data Available,KAVADE NURSING HOME ( Uttam nagar ),0,0,UTTAMNAGAR PUNE 411023,Pune,8,1,1619863139000,DCHC,PMC,0,2,0,Chargeable
86,15,0,,5,No Data Available,9823914228,No Data Available,Kedarnath General Hospital ( Vishrantwadi),0,2,"Tirupati Complex, pune aalndi rd, vishrantwadi pune 15",Pune,8,0,1619859853000,DCHC,PMC,0,0,0,Chargeable
87,15,0,,0,No Data Available,7709188744,No Data Available,Khenat Hospital ( Karve Nagar),0,0,"sai hsg soc, sr.no.53, near state bank nagar karve nagar chowk pune",Pune,15,2,1619748551000,DCHC,PMC,0,0,0,Chargeable
88,20,0,,10,No Data Available,7030607333,No Data Available,KK Hospital (Chandan nagar ),0,0,"Pune Nagar rd, Chandan nagar Pune 14",Pune,10,3,1619944733000,DCHC,PMC,0,7,0,Chargeable
89,40,0,,0,No Data Available,7385406224,No Data Available,Kohakade hospital (Chandan Nagar),0,1,"39/2, plot no 21, near vijay sales nagar rd, sangam nagar pune",Pune,39,8,1619935583000,DCHC,PMC,0,0,0,Chargeable
90,55,0,411007,0,No Data Available,7038739604/06,No Data Available,Kotbagi Hospital Aundh,0,10,"163, DP Rd, Near DAV Public School, Harmony Society, Ward No. 8, Wireless Colony, Aundh, Pune, Maharashtra 411007",Pune,40,8,1619813396000,DCHC,PMC,0,0,5,Chargeable
91,40,0,,0,No Data Available,020-41403700,No Data Available,krishna hospital ( Kothrud),0,3,"2,Anjanwel,prashant society, paud rd, kothrud, pune 411038",Pune,34,23,1619941091000,DCHC,PMC,0,0,3,Chargeable
92,10,0,,0,No Data Available,9822390665/9529188438,No Data Available,Kulkarni Hospital & Diagnostic Center ( Warje ),0,0,"125/B, Near Warje Jakat Naka, Next to Kakade City, Warje, Pune 411058",Pune,10,0,1619934090000,DCHC,PMC,0,0,0,Chargeable
93,10,0,,7,No Data Available,9822316866,No Data Available,Kurkute Hospital ( Wadgaon Sheri),0,0,"Vitthal Nagar, Wadgaon Sheri, Pune 14",Pune,3,0,1619771495000,DCHC,PMC,0,3,0,Chargeable
94,25,0,412308,0,No Data Available,7756977272,No Data Available,Life Line Hospital Fursungi,0,8,"Phursungi, Saswad Rd, Bhekrai Nagar, Hadapsar, Pune, Maharashtra 412308",Pune,10,2,1619853049000,DCHC,PMC,0,0,7,Chargeable
95,12,0,,4,No Data Available,9595703107,No Data Available,"Lifecare Hospital ( Gadital, Hadapsar )",0,0,"Vaishali Heights, Gadital, Hadapsar, pune 28",Pune,8,0,1618125248000,DCHC,PMC,0,0,0,Chargeable
96,30,0,,10,No Data Available,7020167179,No Data Available,LifeCare Multispecility Hospital  (  Near Samruddhi Hotel Hadapsar ),0,2,"Behind D mart, Near Samruddhi Hotel, Kalepadal rd, Hadapsar, Pune-411028",Pune,18,0,1619774748000,DCHC,PMC,30,0,0,Chargeable
97,30,0,411048,0,No Data Available,8888442202,No Data Available,lifeline hospital kondhwa,0,2,"NIBM Rd, Kausar Baugh, Kondhwa, Pune, Maharashtra 411048",Pune,18,0,1619856360000,DCHC,PMC,12,0,10,Chargeable
98,92,0,,0,Dr.Bharat Waghmare,9850072473/9922442179,Deputy District Officer & DIstrict Rehabilition Officer District Officers Office,Lokmanya Hospital-Gokhale Nagar,0,5,"Lokmanya Hospital,Gokhale Nagar,SB Road, Pune",Pune,68,9,1619938221000,DCHC,PMC,32,0,19,Chargeable
99,22,0,,2,No Data Available,9011916607,No Data Available,Mahesh Smruti Hospital ( Hadapsar ),0,0,Hadaspar,Pune,20,10,1619947223000,DCHC,PMC,0,0,0,Chargeable
100,45,0,411058,11,No Data Available,020-40541000,No Data Available,Mai Mangeshkar hosp  warje,0,0,"Survey No. 117/1, Mumbai - Bangalore Highway, Warje, Pune, Maharashtra 411058",Pune,34,11,1619932258000,DCHC,PMC,0,0,0,Chargeable
101,15,0,,5,No Data Available,7887425088 / 9178243212,No Data Available,"Mantri Hospital ( Kavde rd, Ghorpadi )",0,0,"Sr.No.49/15,BT, Kavde rd, Ghorapadi, Pune 411036",Pune,10,10,1619851095000,DCHC,PMC,0,5,0,Chargeable
102,5,0,,0,No Data Available,9822096460,No Data Available,Mantri Hospital (Erandwane ),0,0,"98, Erandwane , Near Mhatre Bridge,Pune 411004",Pune,5,0,1619755393000,DCHC,PMC,0,0,0,Chargeable
103,15,0,,5,No Data Available,"9822291506, 9960785224",No Data Available,Mathura Hospital ( Yerawada),0,0,"jay javan nagar , yerawada,pune-06",Pune,10,0,1618553470000,DCHC,PMC,0,0,0,Chargeable
