id,area,total_beds_allocated_to_covid,available_icu_beds_with_ventilator,district,hospital_poc_phone,total_beds_without_oxygen,available_beds_without_oxygen,hospital_poc_designation,hospital_poc_name,total_icu_beds_without_ventilator,charges,total_beds_with_oxygen,hospital_name,available_icu_beds_without_ventilator,total_icu_beds_with_ventilator,available_beds_with_oxygen,last_updated_on
47,Pramukh Arcade Kudasan,20,0,Pramukh Arcade Kudasan,9904852245,0,0,Nodal Officer,Dr Kandarp,0,PRIVATE,20,Shashwat Hospital Kudasan,0,0,0,1619753792000
48,VTC Kudasan,8,0,VTC Kudasan,9727212085,4,4,Nodal Officer,Dr Chirag Banker,0,PRIVATE,4,Shiven Children Hospital VTC Kudasan,0,0,2,1619753252000
49,KALOL,38,0,KALOL,9687887007,10,4,Nodal Officer,Mr. Nakul Prajapati,4,PRIVATE,22,"Shradhha Hospital, Kalol",0,2,0,1619757625000
50,Gandhinagar,10,0,Gandhinagar,9925225799,7,0,Nodal Officer,Dr Arvind Patel,0,PRIVATE,3,Shukan Hospital Dehgam,0,0,0,1619750582000
51,Station road Dehgam,31,0,Station road Dehgam,7572999108,20,0,Nodal Officer,Dr Lalit Solanki,5,PRIVATE,5,Siddhi Vinayak Multispeciality Hospital Dehgam,0,1,0,1619760435000
52,Sector-17 Ghandhinagar,50,0,Sector-17 Ghandhinagar,9978897041,50,37,Nodal Officer,Dr. Hema Joshi,0,GOVERNMENT,0,Staff Training College sec 17,0,0,0,1619070392000
53,"Behind D-Mart, Sector-26, Gandhinagar -382028",32,0,"Behind D-Mart, Sector-26, Gandhinagar -382028",9624401999,11,1,Nodal Officer,Dr Hardik Patel,2,PRIVATE,17,Surmount Hospital,0,2,0,1619662142000
54,Naroda dehgam road,20,0,Naroda dehgam road,9909043943,13,0,Nodal Officer,Dr Ronak Patel,1,PRIVATE,5,Swarnee Hospital Dehgam,0,1,0,1619752717000
55,Karnavati Dental college campus uvarsad,120,0,Karnavati Dental college campus uvarsad,9879622517,90,55,Nodal Officer,Dr Urvish,6,PRIVATE,20,United Eduplus Hospital Uvarsad,0,4,0,1619750642000
56,"SECTOR - 6, Gandhinagar",41,0,"SECTOR - 6, Gandhinagar",9512320014,0,0,Nodal Officer,VIJAY RAVAL,4,PRIVATE,33,Vachhani Hospital,0,4,8,1619753593000
57,Adalaj Gnr,17,0,Adalaj Gnr,9825989520,5,0,Nodal Officer,Dr Hemant,0,PRIVATE,12,Viva Health Care Adalaj,0,0,0,1619749397000
58,Itadara road Mansa,16,0,Itadara road Mansa,9825514128,8,3,Nodal Officer,Dr Tushar Jani,0,PRIVATE,8,Yash Hospital Mansa,0,0,2,1619751355000
