id,area,available_icu_beds_with_ventilator,pincode,district,hospital_poc_phone,total_beds_without_oxygen,available_beds_without_oxygen,hospital_poc_name,total_icu_beds_without_ventilator,total_beds_with_oxygen,hospital_phone,hospital_name,available_icu_beds_without_ventilator,total_icu_beds_with_ventilator,available_beds_with_oxygen,hospital_address,last_updated_on,hospital_category
13,Ashoknagar,-1,473331,Ashoknagar,9981470062,20,18,MR LILESH TOMAR,0,10,"9981470062, 9981470062",LKT HOSPITAL,0,-1,9,"Ashoknagar - Esagarh Rd, Om Colony, Ashoknagar, Madhya Pradesh 473331, India",1619924805000,Private
14,Ashoknagar,-1,473330,Ashoknagar,9131178433,5,5,DR. SHIVRAJ SINGH BHADOURIYA,0,3,", ",CHC SHADORA,0,-1,2,"Shadora, Madhya Pradesh 473330, India",1619917083000,Government
15,Ashoknagar,-1,473335,Ashoknagar,9617377767,48,44,KULDEEP MAHATMA JI,0,2,075412 40734,ANANDPUR HOSPITAL,0,-1,0,"P.o. SHRI Anandpur, Sukhpur, Isagarh, Madhya Pradesh 473335, India",1619917051000,Private
16,Ashoknagar,-1,473331,Ashoknagar,9893015806,40,0,Dr. Manish Choursiya,10,120,"9425798760, 9425798760",DH Ashoknagar - DCHC,0,-1,0,"Ashok Nagar, Chaigara, Hoshangabad, Madhya Pradesh 473331, India",1619941128000,Government
17,Ashoknagar,-1,473443,Ashoknagar,7389986622,10,7,DR. AMIT PANDEY,0,4,"7389986622, 7389986622",CH MUNGAOLI,0,-1,0,"Mungaoli, Madhya Pradesh 473443, India",1619916920000,Government
18,Ashoknagar,-1,473331,Ashoknagar,9826547955,5,5,DR SUYASH JAIN,0,0,"9826547955, 9826547955",RAJSHREE NURSING HOME,0,-1,0,"Kher Colony Road, Soni Colony, Yadav Colony, Ashoknagar, Madhya Pradesh 473331, India",1619928372000,Private
19,Ashoknagar,-1,473446,Ashoknagar,9406500911,10,10,DR. M.L. KHARKA,0,5,", ",CH CHANDERI,0,-1,5,"Chanderi, Madhya Pradesh 473446, India",1619916879000,Government
20,Ashoknagar,-1,473331,Ashoknagar,9893015806,125,104,Dr. Manish Chourasiya,0,0,"9981819712, 9755678228",TRAINING CENTER,0,-1,0,"near Excellence H. S. School Pathar, Purana Bazar, Ashoknagar, Madhya Pradesh 473331, India",1619941244000,Government
21,Ashoknagar,-1,473331,Ashoknagar,9406582200,5,5,DR MANGAL SONIK,0,0,"9406582200, 9406582200",AYUSHMAN NURSING HOME,0,-1,0,"Bilala Mill Rd, Subhash Gunj, Ashoknagar, Madhya Pradesh 473331, India",1619916955000,Private
22,Ashoknagar,-1,473331,Ashoknagar,9516822579,6,6,Mr. Vishnu,0,0,070002 05268,SAMAR HOSPITAL,0,-1,0,"Rampura Mohalla, Tulsi Sarovar Colony, Ashoknagar, Madhya Pradesh 473331, India",1619929291000,Private
23,Ashoknagar,-1,473335,Ashoknagar,7415752540,4,4,DR. MAHENDRA DHAKAD,0,0,"7415752540, 7415752540",CHC ISAGARH,0,-1,0,"Roopnagar,baheriya, Sukhpur, Isagarh, Madhya Pradesh 473335, India",1619916850000,Government
24,Ashoknagar,-1,473331,Ashoknagar,7509439048,15,15,MR. RAMESH KORI,0,5,082693 30162,ASHOKA HOSPITAL,0,-1,5,"Shankarpur, Ashoknagar, Madhya Pradesh 473331, India",1619926593000,Private
25,Balaghat,-1,481222,Balaghat,9425876045,45,12,Dr Pradeep Gedam,0,5,"9425876045, 9425876045",Civil hospital lanji,0,-1,0,"Lanji-Balaghat Rd, Lanji, Madhya Pradesh 481222, India",1619929314000,Government
26,Balaghat,-1,481001,Balaghat,7389582111,50,44,Dr Pankaj Mahajan,0,0,", ",Patwari Training Center Gaykhuri Balaghat,0,-1,0,"Balaghat, Madhya Pradesh 481001, India",1619925940000,Government
27,Balaghat,-1,481001,Balaghat,7000250700,0,0,Dr Rohit Gupta,8,27,079995 11697,Arogya Hospital Balaghat,0,-1,0,"Gujri Chowk, Chitragupt Nagar, Balaghat, Madhya Pradesh 481001, India",1619932792000,Private
28,Balaghat,-1,481001,Balaghat,9907403547,0,0,Dr Avinash Sahare,9,0,099074 03547,Ganpati Memorial Multispecialty Hospital And Critical Care Unit Balaghat,0,-1,0,"Vivekanand Colony, Chitragupt Nagar, Balaghat, Madhya Pradesh 481001, India",1619932122000,Private
29,Balaghat,-1,,Balaghat,7000427909,0,0,Arvind Bharne,10,4,"7000427909, 7389582111",Nidan Multispecialty Hospital Balaghat,0,-1,0,,1619943009000,Private
30,Balaghat,-1,481331,Balaghat,9425448164,18,0,Dr Ravindra Tathod,0,34,"7415143309, 7415143309",Civil hospital Waraseoni,0,-1,0,"Waraseoni, Madhya Pradesh 481331, India",1619924734000,Government
31,Balaghat,-1,481001,Balaghat,7024433538,10,0,Dr. Bhajan Lilhare,15,152,"7389582111, 7999576864",Dist Hospital Balaghat,0,-1,0,"Dheemartola Rd, Budhi, Balaghat, Madhya Pradesh 481001, India",1619925852000,Government
32,Balaghat,-1,481001,Balaghat,7389582111,0,0,Dr Pankaj Mahajan,0,40,"7389582111, 7389582111",MULNA STADIUM,0,-1,0,"Balaghat, Madhya Pradesh 481001, India",1619926028000,Government
33,Balaghat,-1,481111,Balaghat,8225067857,45,44,Dr Harish Masram,0,5,"8225067857, 8225067857",Civil hospital  Baihar,0,-1,0,"Baihar, Madhya Pradesh 481111, India",1619929021000,Government
34,Balaghat,-1,,Balaghat,8224008888,0,0,Dr Abhinav Shrivastav,0,5,"8224008888, 8224008888",Shrivastav Nursing Home Balaghat,0,-1,0,,1619929228000,Private
35,Balaghat,-1,,Balaghat,9300098851,0,0,Dr Shyam Pichode,0,10,"9425600208, 9560211283",Rani Avanti Covid Hospital,0,-1,0,,1619925676000,Private
36,Balaghat,-1,,Balaghat,9617354204,10,10,Dr Hitesh Kawde,10,30,"9174422111, 9713226337",Sardar Patel Multispecialty Hospital Balaghat,0,-1,15,,1619929275000,Private
37,Barwani,-1,451551,Barwani,9131315997,31,2,Dr MS Solanki,0,37,072108 40108,Manorama Hospital Barwani DCHC,0,-1,1,"BUS STAND, Rajghat Rd, opp. DAYABHAI PETROL PUMP, New Barwani, Jumerati Colony, Barwani, Madhya Pradesh 451551, India",1619943075000,Private
38,Barwani,-1,451551,Barwani,9407478275,190,144,Mo,0,70,"9407478275, 9407478275",MASTER DCHC,0,-1,50,"Barwani, Madhya Pradesh 451551, India",1619941304000,Government
39,Barwani,-1,451666,Barwani,7977470752,13,5,Dr.Deepika Jhavar,12,15,072812 28003,Shree Narayandas Hospital Sendhwa DCHC,3,-1,11,"6/3, A.B.Road Bypass, Gram Banihar, Barwani District, Sendhawa, Madhya Pradesh 451666, India",1619942926000,Private
40,Barwani,-1,451666,Barwani,9826508855,110,85,Dr Deepak Gourv,0,40,072812 23232,Jamli Hostel Sendhwa,0,-1,9,"Shiv Colony, Niwali Road, Abhinav Colony, Sendhwa, Madhya Pradesh 451666, India",1619942635000,Government
41,Barwani,-1,,Barwani,9865200000,28,28,Ayush Doctor,0,12,", ","Kerwa ITI Collage , Thikri",0,-1,0,,1619929019000,Government
42,Barwani,-1,451551,Barwani,9893474398,40,5,Dr Ashish Yadav,4,6,"9893474398, 9893474398",Maha  Mratyunjan Hospital Barwani DCHC,3,-1,3,"Near Anjad Naka State Highway 26, Khargone - Barwani Hwy, Barwani, Madhya Pradesh 451551, India",1619922952000,Private
43,Barwani,-1,451551,Barwani,9981270175,0,0,Dr Nitin Rawat,12,147,072902 22125,DH Barwani  DCHC  District Hospital,0,-1,15,"Barwani, Madhya Pradesh 451551, India",1619941812000,Government
44,Barwani,-1,451551,Barwani,8839381428,20,5,Dr.Mukesh Chouhan,4,56,"9617852685, 9074592829",Asha Gram Hospital Barwani,0,-1,1,"Ashagram Rd, Asha Gram, Barwani, Madhya Pradesh 451551, India",1619942074000,Private
45,Barwani,-1,451551,Barwani,9893087173,26,1,Dr Rashmi Patidar,8,16,078696 17000,Sanjeevni Hospital Barwani DCHC,2,-1,0,"Rajghat Road, Opposite Krishi Upaj Mandi, Barwani, Madhya Pradesh 451551, India",1619943343000,Private
46,Barwani,-1,451666,Barwani,9425072963,15,12,Dr.Anand Gupta,0,15,072812 24504,Aandam Hospital Sendhwa DCHC,0,-1,8,"A.B.ROAD,KAMAL NAGAR, Sendhwa, Madhya Pradesh 451666, India",1619929843000,Private
47,Barwani,-1,451551,Barwani,9981266877,0,0,DR. PANKAJ GUPTA,0,20,"9981266877, 9981266877",Shree Grupad Hospital Barwani DCHC,0,-1,10,"Barwani, Madhya Pradesh 451551, India",1619930705000,Private
48,Barwani,-1,451551,Barwani,9422780113,32,21,Dr. Nand kishor Senani,7,11,"9422780113, 9422780113",BALAJI HOSPITAL BARWANI DCHC,6,-1,0,"Near Anjad Naka State Highway 26, Khargone - Barwani Hwy, Barwani, Madhya Pradesh 451551, India",1619943642000,Private
49,Barwani,-1,451666,Barwani,9754735689,11,11,Dr Stella mathew,2,11,072812 23110,Karuna Hospital Sendhwa DCHC,0,-1,3,"Shivpur Road, Pipaldhar, opposite St. जोसफ हॉस्टल, Sendhwa, Madhya Pradesh 451666, India",1619942292000,Private
50,Barwani,-1,451551,Barwani,9926679088,49,0,Dr Hemant Barche,16,15,078696 17000,Sai Baba Jivan Dhara Hospital DCHC,2,-1,9,"Rajghat Road, Opposite Krishi Upaj Mandi, Barwani, Madhya Pradesh 451551, India",1619932069000,Private
51,Betul,-1,460001,Betul,8122835535,34,23,dr. brijesh yadav,0,10,07141 230 309,HAMLAPUR CCC,0,-1,0,"Opposite Balaji Vihar, Gada Ghat Road, Agnihotri Colony, Betul, Madhya Pradesh 460001, India",1619929952000,Government
52,Betul,-1,460330,Betul,7509868509,28,28,DR. PANKAJ BATHAM,0,2,070893 63572,BHIMPUR CCC,0,-1,2,"Bhimpur, Madhya Pradesh 460330, India",1619928232000,Government
53,Indore,-1,453331,Indore,9425002630,28,6,DR. YOGESH PANDAGRE,4,11,081094 25288,SANJIVANI HOSPITAL,0,-1,0,"Ram Rahim Colony, Indore, Madhya Pradesh 453331, India",1619922758000,Private
54,Betul,-1,460001,Betul,8109990237,0,0,DR. RAVI KADAM,5,9,093000 01224,LIFE CARE HOSPITAL,0,-1,0,"Life line Medical stores, Athner - Betul Rd, Bajpur, Betul, Madhya Pradesh 460001, India",1619929506000,Private
55,Betul,-1,460001,Betul,7836903895,26,5,DR. GAJENDRA,0,8,"9425684628, 9424711333",SAHAPUR CCC,0,-1,0,"Kothi Bazar, Betul, Madhya Pradesh 460001, India",1619933185000,Government
56,Betul,-1,460330,Betul,9424374232,26,19,DR RAJESH ATULKAR,0,4,07145 244 139,CHICHOLI CCC,0,-1,0,"Chicholi, Madhya Pradesh 460330, India",1619930142000,Government
57,Betul,-1,460005,Betul,9425002131,42,2,DR. RAJIV CHOUDHREY,10,15,097545 18186,PADHAR HOSPITAL,0,-1,0,"Post - Padhar, Dist. Betul, Buzurg, Padhar, Madhya Pradesh 460005, India",1619929616000,Private
58,Betul,-1,460001,Betul,9425002241,10,4,DR. NAMEETA LASKARE,8,13,07141 231 041,LASHKARE HOSPITAL,0,-1,0,"Civil lines, Ganj, Betul, Madhya Pradesh 460001, India",1619930907000,Private
59,Betul,-1,460443,Betul,9826215165,26,9,DR SANJEEV SHARMA,0,10,"8319024344, 8871943727",GHODADONGRI CCC,0,-1,0,"Ghoradongri, Ghoda Dongri Ryt, Madhya Pradesh 460443, India",1619929859000,Government
60,Betul,-1,460001,Betul,9977429722,0,0,DR. RAMESH KAKODIYA,6,14,"7909336271, 9479669468",KAKODIYA HOSPITAL,0,-1,0,"Itarsi Rd, Pratap Ward, Agnihotri Colony, Betul, Madhya Pradesh 460001, India",1619919574000,Private
61,Betul,-1,,Betul,9009228331,8,8,DR.VNDANA KAPSE,0,12,"9009228331, 9009228331",KARUNA HOSPITAL,0,-1,1,,1619930993000,Private
62,Betul,-1,460001,Betul,9425002915,0,0,Dr. Ashok Barnga,10,115,07141 261 753,DH - BETUL Warehouse (District Hospital Campus) DCHC Betul,0,-1,0,"Bharat Bharti, Jamthi, NH69, Bhopal road,, Betul, Madhya Pradesh 460001, India",1619944853000,Government
63,Betul,-1,460001,Betul,9425002195,4,4,DR. ASHOK MULEY,0,11,", ",ASHIRWAD NURSHING HOME,0,-1,0,"New Shivaji Nagar, Betul, Madhya Pradesh 460001, India",1619924781000,Private
64,Betul,-1,460001,Betul,9285406947,17,1,DR. ASHOK NARVARE,0,8,"9302638609, 9131033108",AMLA CCC,0,-1,1,"Betul, Housing Board Colony, Ganj, Badora, Madhya Pradesh 460001, India",1619930764000,Government
65,Betul,-1,460001,Betul,8770015896,20,1,DR. LALIT SARLE,0,30,07141 234 522,S D HOSPITAL,0,-1,5,"New Baraskar Colony, Betul, Madhya Pradesh 460001, India",1619918927000,Private
66,Betul,-1,460004,Betul,7999756883,30,19,DR PALLAV AMRATFULLE,0,31,093007 87332,MULTAI CCC,0,-1,15,"National Highway 19B, Balajipuram, Betul Bazar, Madhya Pradesh 460004, India",1619929877000,Government
67,Betul,-1,460001,Betul,6261946574,24,14,DR. SUMIT PATTAYA,0,6,"9179406960, 6261946574",ATHNER CCC,0,-1,0,"SH 19B, Rojhada, Betul, Madhya Pradesh 460001, India",1619927110000,Government
68,Betul,-1,17112,Betul,9407594802,30,3,DR.. ATRE,0,6,(717) 541-4960,PATTAN CCC,0,-1,0,"6340 Flank Dr, Harrisburg, PA 17112, USA",1619933783000,Government
69,Betul,-1,460001,Betul,8208425640,10,10,DR. MAHENDRA SHINGH CHUHAN,18,18,"8208425640, 8208425640",CHAUHAN HOSPITAL,0,-1,8,"Unnamed Road, Housing Board Colony, Ganj, Betul, Madhya Pradesh 460001, India",1619931602000,Private
70,Betul,-1,460001,Betul,7000979020,15,0,NUTAN VALLABH RATHI,10,15,"9179058111, 9425870424",SHRI GOVERDHAN CRITICAL CARE MATERNITY TRAUMA  CENTER AND MULTISPACIALITY HOSPITAL BETUL,0,-1,0,"Link Rd, Rojhada, Betul, Madhya Pradesh 460001, India",1619928704000,Private
71,Betul,-1,460220,Betul,9981873800,27,19,DR ARUN ATAL,0,3,"6265120446, 6265120446",BHAISDEHI CCC,0,-1,0,"Bhainsdehi, Madhya Pradesh 460220, India",1619927325000,Government
72,Betul,-1,460001,Betul,7000647113,40,30,DR. SANDEEP PAL,0,20,07141 261 753,OM AYURVEDIC,0,-1,0,"Bharat Bharti, Jamthi, NH69, Bhopal road,, Betul, Madhya Pradesh 460001, India",1619933761000,Government
73,Betul,-1,460001,Betul,8839320052,15,7,DR. SURYA PATEL,5,5,"8080763233, 8767703064",VAISHNAVI HOSPITAL,0,-1,0,"SH 19B, Bajpur, Betul, Madhya Pradesh 460001, India",1619928433000,Private
74,Betul,-1,,Betul,7389800320,0,0,DR. SHAILENDRA SAHU,0,28,", ",DISTRICT AYURVADIC HOSPITAL,0,-1,0,,1619931055000,Government
75,Betul,-1,460001,Betul,7000261913,21,15,DR. UDAY TOMAR,0,4,"9425671955, 7869769977",SEHRA CCC,0,-1,0,"Betul, Housing Board Colony, Ganj, Badora, Madhya Pradesh 460001, India",1619928978000,Government
76,Bhind,-1,,Bhind,9425122792,0,0,Dr Vineet Gupta,15,123,"8319647051, 7000442513",DH Bhind - DCHC,0,-1,2,,1619935428000,Government
77,Bhind,-1,,Bhind,7987304487,60,51,DR SHARAD JAIN,0,0,"8120929321, 8319647051",DIVYANG PUNARVASH KENDR NIRASHRIT BHAWAN,0,-1,0,,1619935521000,Government
78,Bhind,-1,,Bhind,7000603291,100,100,DR ARVIND SHARMA,0,0,"9039974606, 7000603291",GOV NO. 1 GIRLS HOSTEL,0,-1,0,,1619935599000,Government
79,Bhopal,-1,,Bhopal,7974438271,6,0,YOGESH SHARMA,4,4,", ",DK'S HOSPITAL,0,-1,0,,1619945802000,Private
80,Bhopal,-1,462016,Bhopal,8109090919,0,0,Mr Shreyash,20,20,0755 244 0008,NATIONAL HOSPITAL,0,-1,0,"Habibganj Rd, Opp Cricket Club, E-3, Arera Colony, Bhopal, Madhya Pradesh 462016, India",1619929801000,Private
81,Bhopal,-1,462021,Bhopal,7987791339,0,0,DR. RASHMI JAIN,14,16,0755 491 0624,Swastik hospital bhopal,8,-1,7,"B-43 Patel Nagar, Raisen Road, Manak Vihar, Patel Nagar, Bhopal, Madhya Pradesh 462021, India",1619918897000,Private
82,Bhopal,-1,462023,Bhopal,7000051700,6,2,Dr Deepak Chaturvedi,0,7,098273 73915,Divyanka Children Hospital,0,-1,2,"A-262,New Minal Residency,J.K Road Near Minal Gate, No -4, Ayodhya Bypass Rd, New Minal Residency, Minal Residency, Bhopal, Madhya Pradesh 462023, India",1619944413000,Private
83,Bhopal,-1,462001,Bhopal,8889844423,10,0,Dr Bhupendra Shrivastav,40,50,094253 03790,LBS,0,-1,0,"Near Adarsh Hospital, Badabagh, Shahjahanabad, Bhopal, Madhya Pradesh 462001, India",1619946626000,Private
84,Bhopal,-1,462016,Bhopal,9826078794,0,0,dr subodh vashneyi,20,10,0755 257 2666,Siddhanta red cross superspeciality,0,-1,0,"Red Cross Campus, Link Rd 1, Shivaji Nagar, Bhopal, Madhya Pradesh 462016, India",1619939612000,Private
85,Bhopal,-1,462037,Bhopal,9691104376,0,0,Dr. Vipin Tiwari,6,4,"9039894706, 8319847227",Jeevandaan Multi Specialty Hospital,0,-1,1,"लाम्बाखेड़ा (B) | Lambakheda (B, Bhopal, Madhya Pradesh 462037, India",1619946015000,Private
86,Bhopal,-1,465620,Bhopal,9893193090,2,0,Shri Ravi Kelkar,13,5,0755 425 1112,RAJDEEP Hospital,0,-1,0,"54, 55, Main Rd, near sant kutiya, Housing Board Colony, Bairagarh, Bhopal, Madhya Pradesh 465620, India",1619931521000,Private
87,Bhopal,-1,,Bhopal,9826422010,0,0,Raja,7,18,"9826422010, 9826422010",Sarvottam Hospital,0,-1,0,,1619919372000,Private
88,Bhopal,-1,,Bhopal,9893758044,7,0,Ayush Kumar Singh,14,16,"9893758044, 9893758044",CITI HOSPITAL MP NAGAR,0,-1,0,,1619940016000,Private
89,Indore,-1,452010,Indore,9826837388,17,8,SHREE DILIP PAL,4,6,092292 65630,ASTHA HOSPITAL,0,-1,3,"Main Rd, Rajiv Awas Vihar, Part I, Scheme No 114, Indore, Madhya Pradesh 452010, India",1619937966000,Private
90,Bhopal,-1,464993,Bhopal,7389938538,3,3,Durgesh Bhatnagar,6,20,"7389938539, 8319597283",Nirmal Prem MUlti H.,0,-1,3,"sahyog petrol pump,11mile tiraha, Hoshangabad Rd, Bhopal, Madhya Pradesh 464993, India",1619939943000,Private
91,Bhopal,-1,462016,Bhopal,9424443774,4,0,Sister Prasanna,1,9,0755 400 3040,ASHA NIKETAN  HOSPITAL,0,-1,0,"E-6, Arera Colony, Bhopal, Madhya Pradesh 462016, India",1619941914000,Private
92,Bhopal,-1,,Bhopal,7024832425,0,0,Ajay Joshi,5,11,"9926953574, 8878249458",Samadhan Hospital,0,-1,3,,1619917222000,Private
93,Bhopal,-1,462039,Bhopal,7000338590,6,3,DR NILESH GAUTAM,5,0,"7000338590, 7000338590",BHAGVATI GAUTAM HOSPITAL,0,-1,0,"D K - 3/229 IPS COLONY, CHOURAHA, Danish Kunj, Kolar Rd, Bhopal, Madhya Pradesh 462039, India",1619938488000,Private
94,Bhopal,-1,462016,Bhopal,9425004913,4,4,dr deepak chaturvedi,9,10,"9669453573, 9685637785",AKSHAY HOSPITAL,0,-1,0,"No.11, Link Road No.3, Rishi Nagar, opposite Ekant Park, Mannipuram, Char Imli, Bhopal, Madhya Pradesh 462016, India",1619942219000,Private
95,Bhopal,-1,462026,Bhopal,9300003063,0,0,RUPALI MITRA,19,31,0755 400 7000,BHOPAL FRACTURE HOSPITAL,0,-1,0,"E-3, 10 28A, Link Rd Number 3, E-3, Arera Colony, Bhopal, Madhya Pradesh 462026, India",1619938648000,Private
96,Bhopal,-1,462003,Bhopal,9981219215,0,0,ChandraMohan Pandey,2,7,094244 39418,R A Stone Surgical Care Hospital,0,-1,0,"7 Bhadbhada Road Kaatjnu Hospital Ary Samaj Market, Jawahar Chowk, North TT Nagar, TT Nagar, Bhopal, Madhya Pradesh 462003, India",1619943124000,Private
97,Bhopal,-1,,Bhopal,8878666076,15,1,Animesh Mathur,15,10,"8878666076, 8878666076",Miracles Hospital,3,-1,0,,1619915738000,Private
98,Bhopal,-1,462037,Bhopal,9074824431,3,3,DR JASWANT VISHWAKARMA,6,11,0755 427 7815,AYUSHMAN MULTICARE HOSPITAL BHANPUR,0,-1,10,"Bhanpur, Bhopal, Madhya Pradesh 462037, India",1619940852000,Private
99,Bhopal,-1,462016,Bhopal,9630335335,142,9,DR Vinod Tiwari,14,84,0755 408 6000,"Bansal Hospital, Bhopal - DCH",0,-1,0,"Chuna Bhatti Rd, Manisha Market, Sector C, Shahpura, Bhopal, Madhya Pradesh 462016, India",1619938403000,Private
100,Bhopal,-1,462036,Bhopal,9425006560,222,193,Dr Rajesh Kumar Jain,26,2,091091 14000,Mahaveer Institute of medical Science and  Research,0,-1,0,"Near RGPV, Opposite Central Jail, By Pass Road, Adjacent to IT Park, Abbas Nagar, Gandhi Nagar, Bhopal, Madhya Pradesh 462036, India",1619938887000,Private
101,Bhopal,-1,462001,Bhopal,7554259977,0,0,Raja bhoj hospital,8,5,"7554259977, 7554259977",Rajabhoj Hospital,0,-1,0,"Bilgrami Complex, near madjid yakoob khan, Badabagh, Shahjahanabad, Bhopal, Madhya Pradesh 462001, India",1619939981000,Private
102,Bhopal,-1,462016,Bhopal,8349920990,0,0,SWATI,2,4,0755 408 6000,RAMSAROJ  HOSPITAL,0,-1,1,"Chuna Bhatti Rd, Manisha Market, Sector C, Shahpura, Bhopal, Madhya Pradesh 462016, India",1619917977000,Private
103,Bhopal,-1,462016,Bhopal,9806484719,150,52,MR VIVEK RAO,0,0,0755 246 4236,NARMADA CCC NAROHNA ACADEMY,0,-1,0,"Opp, Rcvp Noronha Rd, Shahpura Lake, Arera Colony, Bhopal, Madhya Pradesh 462016, India",1619916496000,Government
104,Bhopal,-1,,Bhopal,8878286714,15,5,Dr. Narendra Tiwari,8,6,"7470303020, 7440962154",Arnav Hospital,0,-1,0,,1619946236000,Private
105,Bhopal,-1,462016,Bhopal,9826066364,4,0,Dr. Pankaj Agrwal,9,7,0755 255 6669,Parul Hospital,0,-1,0,"HIG 2, Ankur Colony, Shivaji Nagar, Bhopal, Madhya Pradesh 462016, India",1619924366000,Private
106,Bhopal,-1,462038,Bhopal,9669866279,70,67,Dr. Aarti Sharma,18,12,123456789,PBGM SUPERSPECILITY,16,-1,5,"Aradhana Nagar, Near Bhopal memorial Hopsital, BMHRC Campus, Karond, Bhopal, Madhya Pradesh 462038, India",1619940111000,Private
107,Bhopal,-1,462008,Bhopal,9406955057,30,15,Akash Mishra,20,0,0755 400 3210,Chaudhary Hospital,0,-1,0,"Raisen Rd, behind Kartar Arcade, near Capital Petrol Pump, New Subhash Nagar, Gurunanak Pura, Ashoka Garden, Bhopal, Madhya Pradesh 462008, India",1619939548000,Private
108,Bhopal,-1,,Bhopal,9893343904,2,1,Santosh Gautam,4,9,"9479638139, 7225803905",Srijan Hospital,0,-1,0,,1619931708000,Private
109,Bhopal,-1,,Bhopal,7697207969,5,3,DR. MANOJ PANDEY,10,5,"8305559898, 9907010055",Vidhata Multispecialty Hospital,2,-1,0,,1619925730000,Private
110,Bhopal,-1,462001,Bhopal,9993420548,5,5,Dr Akram Khan,8,23,099934 20548,GOODWILL HOSPITAL,0,-1,11,"77, near Police Station, Badabagh, Shahjahanabad, Bhopal, Madhya Pradesh 462001, India",1619945043000,Private
111,Bhopal,-1,462031,Bhopal,8423860619,60,8,Dr. A.K Niranjan,2,20,0755 264 4984,MILITARY HOSPITAL,0,-1,0,"Bairagarh, Bhopal, Madhya Pradesh 462031, India",1619930489000,Government
112,Bhopal,-1,462022,Bhopal,9039557645,16,12,Zaid Usmani,8,6,090390 02200,Nagpur Neuro & Trauma Hospital,0,-1,0,"F-58, Raisen Rd, Patel Nagar, Bhopal, Madhya Pradesh 462022, India",1619943703000,Private
113,Bhopal,-1,462023,Bhopal,9074142260,6,0,Dr Fazal,6,6,095754 88614,Care Multi Speciality,0,-1,0,"80 Feet Rd, Mayur Vihar Colony, Ashoka Garden, Bhopal, Madhya Pradesh 462023, India",1619941496000,Private
