id,available_icu_beds_with_ventilator,pincode,total_beds_allocated_to_covid,total_beds_without_oxygen,hospital_name,available_icu_beds_without_ventilator,total_icu_beds_with_ventilator,hospital_address,state,district,total_beds_with_oxygen,facility_id,available_beds_with_oxygen,last_updated_on,hospital_category,area,fee_regulated_beds,hospital_poc_phone,available_beds_without_oxygen,hospital_poc_name,hospital_poc_designation,total_icu_beds_without_ventilator,charges,hospital_poc_email
10,0,413249,,8,Dnyansudha Multispeciality Hospital Shirur (K),0,5,Shirur,Maharashtra,Beed,17,38817,1,1619927360260,Dedicated COVID Hospitals / DCH,Shirur,25.0,9112754312,4,Mr.Vaibhav nakade,Nodal Officer,4,Private,dnyansudha0511@gmail.com
11,0,431517,,70,Dr. Babasaheb Ambedkar Boys Hostel Ambajogai,0,0,Ambajogai,Maharashtra,Beed,0,51000,0,1619943783167,Dedicated COVID Center / DCCC,Ambajogai,90.0,9423470849,17,Dr.Mahendra Lomte,Nodal Officer,0,Government,msrhdh@gmail.com
12,0,431515,,100,Dr. Babasaheb Ambedkar Niwasi Hostel Parali,0,0,Parali,Maharashtra,Beed,0,51001,0,1619945906152,Dedicated COVID Center / DCCC,Parali,100.0,9822215059,12,Dr.Arshad,Nodal Officer,0,Government,mssdhparliv@gmail.com
13,0,414203,,28,Gandhi Hospital & ICU Center Kada,1,5,Ashti,Maharashtra,Beed,14,38816,1,1619929966451,Dedicated COVID Health Center / DCHC,Ashti,40.0,9422727164,6,Dr.Umesh Gandhi,Nodal Officer,4,Private,drumesh30@yahoo.in
14,0,431517,,125,"Geriatic Hospital, Lokhandi",0,0,Ambajogai,Maharashtra,Beed,375,15372,0,1619944364377,Dedicated COVID Health Center / DCHC,Ambajogai,400.0,9284263894,106,Dr.Chavan,Nodal Officer,0,Government,dchlokhandi@gmail.com /drgbjadhav@gmail.com
15,0,431122,,27,Gholve Hospital Beed,0,0,Beed,Maharashtra,Beed,4,38863,0,1619934537432,Dedicated COVID Hospitals / DCH,Beed,32.0,9867699298,29,Dr.Vijay Ramchandra Gholve,Nodal Officer,0,Private,gholvehospital98@gmail.com
16,0,431515,,0,Gitte Hospital Parali,0,6,Parali,Maharashtra,Beed,14,51002,1,1619946432514,Dedicated COVID Hospitals / DCH,Parali,20.0,7795182536,5,Dr.Gitte,Nodal Officer,5,Private,drgittesuryakant@gmail.com
17,0,414203,,200,Govt. ITI Hostel Ashti,0,0,Ashti,Maharashtra,Beed,0,26831,0,1619938779656,Dedicated COVID Center / DCCC,Ashti,400.0,9763137160,305,Dr.Balaji Gutte,Nodal Officer,0,Government,rhashti9@gmail.com
18,0,431122,,150,"Govt. ITI Hostel, Beed",0,0,Beed,Maharashtra,Beed,0,26829,0,1619938571807,Dedicated COVID Center / DCCC,Beed,150.0,7350659272,0,Dr.Amit Bayas,Nodal Officer,0,Government,cs_beed@rediffmail.com
19,0,431127,,106,Govt. Kasturba Gandhi Hostel Georai,0,0,Georai,Maharashtra,Beed,0,35946,0,1619946978325,Dedicated COVID Center / DCCC,Georai,106.0,9577871111,0,Dr.Vishal Kakde,Nodal Officer,0,Government,sdhgeorai@yahoo.com
20,0,431144,,60,Govt. Kasturba Gandhi Hostel Wadwani,0,0,Wadwani,Maharashtra,Beed,0,16611,0,1619945644495,Dedicated COVID Center / DCCC,Wadwani,100.0,9422241543,0,Dr.Karmalkar,Nodal Officer,0,Government,rh_chinchwan@rediffmail.com
21,0,431122,,150,Govt. Polytechnic Boys Hostel Kandeshwari Beed,0,0,Beed,Maharashtra,Beed,0,38023,0,1619942827072,Dedicated COVID Center / DCCC,Beed,150.0,8668583635,15,Dr.Mahesh Mane,Nodal Officer,0,Government,cs_beed@rediffmail.com
22,0,431122,,50,Govt. Polytechnic Girls Hostel Kandeshwari Beed,0,0,Beed,Maharashtra,Beed,0,38024,0,1619942981622,Dedicated COVID Center / DCCC,Beed,50.0,8668583635,3,Dr.Mahesh Mane,Nodal Officer,0,Government,cs_beed@rediffmail.com
23,0,431517,,0,Kanchan Hospital Ambajogai,1,3,Ambajogai,Maharashtra,Beed,27,51003,7,1619943728449,Dedicated COVID Health Center / DCHC,Ambajogai,30.0,9822413899,8,Dr.Mahadev Shingane,Nodal Officer,2,Private,mahadeoshingne@gmail.com
24,0,431515,,14,Karad Hospital Parali,0,6,Parali,Maharashtra,Beed,14,51004,0,1619934755557,Dedicated COVID Hospitals / DCH,Parali,40.0,9422240866,36,Dr.Balasaheb Karad,Nodal Officer,5,Private,karadbalasaheb@gmail.com
25,0,431515,,0,Kendre Hospital Parali,0,10,Parali,Maharashtra,Beed,10,51005,15,1619925764813,Dedicated COVID Health Center / DCHC,Parali,20.0,9422241325,2,Dr.Ajit Kendre,Nodal Officer,10,Private,drajit4u@gmail.com
26,0,431122,,0,Krushna Hospital Beed,0,8,Beed,Maharashtra,Beed,25,38476,0,1619942318197,Dedicated COVID Hospitals / DCH,Beed,25.0,9922708270,0,Dr.Manoj Munde,Nodal Officer,6,Private,drmbmundhe@gmail.com
27,0,431122,,200,Late Satish Nandlal Kotecha CCC Centre,0,0,Beed,Maharashtra,Beed,0,38841,0,1619941558134,Dedicated COVID Hospitals / DCH,Beed,200.0,9860787722,167,Anant Kotecha,Nodal Officer,0,Private,jbssk@gmail.com
28,0,431122,,0,"Life Line Hospital Nagar Naka, Beed",0,25,Beed,Maharashtra,Beed,35,51006,0,1619947055355,Dedicated COVID Health Center / DCHC,Beed,60.0,7767943485,0,Dr.Yogesh Gawali,Nodal Officer,25,Private,gawaliyogi7767@gmail.com
29,0,431122,,4,Life Line Multispeciality & Surgical Hospital Beed,2,0,Beed,Maharashtra,Beed,4,38847,0,1619945666235,Dedicated COVID Hospitals / DCH,Beed,32.0,9326898964,5,Dr.Santosh Shinde,Nodal Officer,0,Private,lifelinehospitalbeed@gmail.com
30,0,431523,,100,Magasvargiya Boys Hostel Patoda,0,0,Patoda,Maharashtra,Beed,0,51007,0,1619933758150,Dedicated COVID Center / DCCC,Patoda,100.0,9823510620,52,Dr.Nivrutti Munde,Nodal Officer,0,Government,msrhpatoda@rediffmail.com
31,0,431122,,0,Mahaveer Bal Rugnalay Beed,0,6,Beed,Maharashtra,Beed,15,38065,0,1619945770560,Dedicated COVID Hospitals / DCH,Beed,27.0,9075022077,2,Dr.Harshal Badjate,Nodal Officer,5,Private,bharshal1@gmail.com
32,0,431127,,13,Manik Hospital Georai,0,9,Georai,Maharashtra,Beed,14,51008,0,1618898696384,Dedicated COVID Hospitals / DCH,Georai,40.0,7947418782,0,Dr.Sikachi,Nodal Officer,9,Private,drsikachi@gmail.com
33,0,414203,,18,Markande Nursing Home Kada,0,2,Ashti,Maharashtra,Beed,20,38726,2,1619931271520,Dedicated COVID Health Center / DCHC,Ashti,40.0,9823919219,17,Dr.Pratap Markande,Nodal Officer,2,Private,markandepratap@gmail.com
34,0,431122,,0,Matoshree Hospital Beed,0,0,Beed,Maharashtra,Beed,0,38871,0,1619945607417,Dedicated COVID Hospitals / DCH,Beed,24.0,9404287122,6,Dr.Amol Jogdand,Nodal Officer,0,Private,matoshrihospitalbeed@gmail.com
35,0,431131,,20,Mauli Hospital Majalgaon,2,10,Majalgaon,Maharashtra,Beed,20,38966,3,1619944668739,Dedicated COVID Hospitals / DCH,Majalgaon,50.0,9370457788,14,Dr.Bharat Waghmode,Nodal Officer,8,Private,swati.wacs@gmail.com
36,0,431515,,0,Mauli Hospital Parali,5,7,Parali,Maharashtra,Beed,13,38815,19,1619927500496,Dedicated COVID Hospitals / DCH,Parali,20.0,9422932266,4,Dr.Shalini Karad,Nodal Officer,5,Private,drshalinikarad@gmail.com
37,0,431131,,150,Mauli Lawns Majalgaon,0,0,Majalgaon,Maharashtra,Beed,0,51009,0,1619938941994,Dedicated COVID Center / DCCC,Majalgaon,150.0,9422932507,29,Dr.Gajanan Rudrawar,Nodal Officer,0,Government,rh.majalgaon2012@gmail.com
38,2,414203,,9,Moharkar General Hospital Ashti,8,8,Ashti,Maharashtra,Beed,13,38523,15,1619932599020,Dedicated COVID Hospitals / DCH,Ashti,30.0,9649875727,7,Dr.Moharkar,Nodal Officer,6,Private,s.moharkar@gmail.com
39,0,431515,,0,Munde Bal Rugnalya Parali,4,0,Parali,Maharashtra,Beed,0,51010,19,1619924022773,Dedicated COVID Hospitals / DCH,Parali,80.0,9422242419,16,Dr.Surakant Munde,Nodal Officer,0,Private,drsuryakantmundhe@gmail.com
40,0,431127,,80,Nagar Parishad Samajik Sabhagrah Georai,0,0,Georai,Maharashtra,Beed,0,16651,0,1619946744376,Dedicated COVID Center / DCCC,Georai,80.0,9730700777,70,Dr.Rajiv Andhale,Nodal Officer,0,Government,sdhgeorai@yahoo.com
41,0,431122,,0,Navjeevan Hospital Beed,0,7,Beed,Maharashtra,Beed,17,38083,0,1619944928700,Dedicated COVID Hospitals / DCH,Beed,17.0,9156328093,0,Dr.Suraj Bhawle,Nodal Officer,6,Private,suraj111bhavle@gmail.com
42,0,431122,,0,"Nobel Hospital,Beed",0,8,Beed,Maharashtra,Beed,40,36870,2,1619930245834,Dedicated COVID Hospitals / DCH,Beed,40.0,8369374118,3,Dr.Golhar,Nodal Officer,6,Private,dr.nileshgolhar@gmail.com
43,0,431122,,0,Nursing School DH Beed,0,0,Beed,Maharashtra,Beed,0,51011,12,1619938043354,Dedicated COVID Hospitals / DCH,Beed,150.0,9422628392,14,Dr.Sukhdev Rathod,Nodal Officer,0,Government,cs_beed@rediffmail.com
44,0,431122,,14,Paradise Hospital Beed,0,10,Beed,Maharashtra,Beed,10,51012,0,1619929812652,Dedicated COVID Hospitals / DCH,Beed,39.0,9326438038,7,Dr.Mohammed Siddique,Nodal Officer,8,Private,dr.arshiyaparadise@gmail.com
45,0,431122,,2,Prashant Hospital Beed,0,0,Beed,Maharashtra,Beed,4,38855,0,1619940391467,Dedicated COVID Hospitals / DCH,Beed,24.0,9422241370,0,Dr.Dilip Kharwadkar,Nodal Officer,0,Private,dpko6@yahoo.co.in
46,0,431131,,20,Sabale Surgical Hospital Majalgaon,0,10,Majalgaon,Maharashtra,Beed,20,51013,0,1619944962035,Dedicated COVID Hospitals / DCH,Majalgaon,40.0,9075559595,0,Dr.Sable,Nodal Officer,8,Private,drsable@gmail.com
47,0,431123,,100,Samaj Kalyan Boys Hostel Kaij,0,0,Kaij,Maharashtra,Beed,0,26839,0,1619942968313,Dedicated COVID Center / DCCC,Kaij,150.0,8999845959,0,Dr.Chate,Nodal Officer,0,Government,sdh.kaij@gmail.com
48,0,431515,,100,Samaj kalyan Boys Hostel Parali,0,0,Parali,Maharashtra,Beed,0,26835,0,1618982537518,Dedicated COVID Center / DCCC,Parali,100.0,9822215059,25,Dr.Arshad,Nodal Officer,0,Government,mssdhparliv@gmail.com
49,0,431523,,60,Samaj Kalyan Boys Hostel Patoda,0,0,Patoda,Maharashtra,Beed,0,20451,0,1619933744857,Dedicated COVID Center / DCCC,Patoda,100.0,9823510620,7,Dr.Nivrutti Munde,Nodal Officer,0,Government,msrhpatoda@rediffmail.com
50,0,431124,,100,Samaj Kalyan Girls Hostel Dharur,0,0,Dharur,Maharashtra,Beed,0,26849,0,1619943444469,Dedicated COVID Center / DCCC,Dharur,160.0,9970018464,25,Dr.Chetan Admane,Nodal Officer,0,Government,msdharur@gmail.com
51,0,431131,,200,Samaj Kalyan Girls Hostel Majalgaon,0,0,Majalgaon,Maharashtra,Beed,0,16666,0,1619938929845,Dedicated COVID Center / DCCC,Majalgaon,200.0,9422932507,0,Dr.Gajanan Rudrawar,Nodal Officer,0,Government,rh.majalgaon2012@gmail.com
52,0,431523,,160,Samaj Kalyan Girls Hostel Patoda,0,0,Patoda,Maharashtra,Beed,0,20452,0,1619933733700,Dedicated COVID Center / DCCC,Patoda,100.0,9823510620,52,Dr.Nivrutti Munde,Nodal Officer,0,Government,msrhpatoda@rediffmail.com
53,0,413249,,100,Samj Kalyan Girls Hostel Shrirur Kasar,0,0,Shirur,Maharashtra,Beed,0,16633,0,1619930259393,Dedicated COVID Center / DCCC,Shirur,100.0,9970094655,34,Dr.Santosh Shahane,Nodal Officer,0,Government,rh.raimoha@gmail.com
54,0,431122,,0,Sanap Hospital Beed,0,12,Beed,Maharashtra,Beed,50,38034,0,1619940128378,Dedicated COVID Hospitals / DCH,Beed,50.0,8329296093,0,Dr.Sunil Sanap,Nodal Officer,10,Private,drsunilsanap@gmail.com
55,0,431517,,5,Sanjeevani Hospital Ambajogai,0,5,Ambajogai,Maharashtra,Beed,0,38877,0,1619946059583,Dedicated COVID Health Center / DCHC,Ambajogai,10.0,9405826905,0,Dr.Sachin Chate,Nodal Officer,4,Private,sanjivanibeed111@gmail.com
56,0,431122,,0,Sanjivani Hospital Beed,0,10,Beed,Maharashtra,Beed,35,51014,0,1619944198166,Dedicated COVID Hospitals / DCH,Beed,55.0,7020541288,0,Dr.Sanket Baheti,Nodal Officer,8,Private,sanjivanibeed111@gmail.com
57,0,431515,,0,Sant Dnyaneshwar Hospital Parali,0,2,Parali,Maharashtra,Beed,2,51015,8,1619926376497,Dedicated COVID Hospitals / DCH,Parali,40.0,9422241930,14,Dr.Harishchandra Wange,Nodal Officer,1,Private,harshchandrawange@gmail.com
58,0,431127,,35,SDH Georai,0,0,Georai,Maharashtra,Beed,0,51016,0,1619943629083,Dedicated COVID Health Center / DCHC,Georai,35.0,9422295188,0,Dr.Mahadev Chinchole,Nodal Officer,0,Government,sdhgeorai@yahoo.com
59,0,431123,,25,SDH Kaij,0,0,Kaij,Maharashtra,Beed,0,26440,0,1619943216362,Dedicated COVID Hospitals / DCH,Kaij,25.0,9049907305,0,Dr.Sanjay Raut,Nodal Officer,6,Government,sdh.kaij@gmail.com
60,0,431123,,200,Sharada English School Beed road kaij,0,0,Kaij,Maharashtra,Beed,0,34214,0,1619944683041,Dedicated COVID Center / DCCC,Kaij,200.0,9890221333,49,Dr.Pusdekar,Nodal Officer,0,Government,sdh.kaij@gmail.com
61,0,431127,,100,Sharda Hospital & Research Centre Gadi,0,0,Georai,Maharashtra,Beed,0,51017,0,1619945574309,Dedicated COVID Center / DCCC,Georai,100.0,9011994537,15,Dr.Pratik Kulkarni,Nodal Officer,0,Government,sdhgeorai@yahoo.com
62,0,431122,,0,Shivkamal Hospital Beed,0,10,Beed,Maharashtra,Beed,15,38780,0,1619938972462,Dedicated COVID Hospitals / DCH,Beed,25.0,9763026666,0,Dr.Rahul Jaju,Nodal Officer,9,Private,docjaju@gmail.com
63,0,431515,,0,Shree Sai Hospital Parali,0,0,Parali,Maharashtra,Beed,10,51018,0,1618902932273,Dedicated COVID Health Center / DCHC,Parali,10.0,9676366782,0,Dr.Shailendra Gadkal,Nodal Officer,0,Private,drshailendragarkal@gmail.com
64,2,431515,,15,Shree Samarth Hospital Parali,6,0,Parali,Maharashtra,Beed,5,51019,13,1619929920551,Dedicated COVID Health Center / DCHC,Parali,10.0,9657943385,8,DR.Satish Gutte,Nodal Officer,0,Private,drsatishgutte@gmail.com
65,0,431123,,0,Shreya Hospital Kaij,0,0,Kaij,Maharashtra,Beed,0,51020,0,1618897904396,Dedicated COVID Hospitals / DCH,Kaij,24.0,9545265426,0,Dr.Prashant Patil,Nodal Officer,0,Private,shreyakaij@gmail.com
66,0,431122,,0,"Shri Mauli Hospital, Beed",0,10,Beed,Maharashtra,Beed,30,34719,0,1619939346874,Dedicated COVID Hospitals / DCH,Beed,45.0,9404323643,0,Dr.Kiran Savase,Nodal Officer,8,Private,drkiran.sawase@gmail.com
67,0,431122,,1,Shubda Hospital Beed,0,0,Beed,Maharashtra,Beed,5,38857,0,1619943278750,Dedicated COVID Hospitals / DCH,Beed,24.0,9767456161,7,Dr.Narayan Gade,Nodal Officer,1,Private,gadenarayan007@gmail.com
68,0,414203,,0,Sonwane Hospital Ashti,0,0,Ashti,Maharashtra,Beed,20,51021,0,1619942658537,Dedicated COVID Health Center / DCHC,Ashti,20.0,9423471458,5,Dr.Vilas Sonwane,Nodal Officer,0,Private,drvilas_son@yahoo.com
69,0,431122,,0,Spandan Hospital Beed,0,5,Beed,Maharashtra,Beed,4,38846,0,1619935365143,Dedicated COVID Hospitals / DCH,Beed,32.0,9545883577,2,Dr.Ramprabhu Tidke,Nodal Officer,4,Private,ramtidake@rediffmail.com
70,0,431517,,0,SRTR GMC Ambajogai,0,23,Ambajogai,Maharashtra,Beed,267,11243,0,1619945964663,Dedicated COVID Hospitals / DCH,Ambajogai,200.0,9822762863,0,Dr.Ankushe,Nodal Officer,10,Government,srtrgmc@gmail.com
71,0,431122,,0,"Surya Multispeciality H, Beed",0,10,Beed,Maharashtra,Beed,40,37421,0,1619927190245,Dedicated COVID Hospitals / DCH,Beed,40.0,9403888934,0,Dr.Tukaram Bade,Nodal Officer,7,Private,tukarambade007@gmail.com
72,0,431517,,200,T.B Girwalkar CCC Ambajogai,0,0,Ambajogai,Maharashtra,Beed,0,51022,0,1619939982678,Dedicated COVID Center / DCCC,Ambajogai,200.0,9423071848,116,Dr.Kamlakar Sakhare,Nodal Officer,0,Government,msrhdh@gmail.com
73,0,431517,,0,"Thorat Multispeciality Hospital,Ambajogai",0,5,Ambajogai,Maharashtra,Beed,15,36873,0,1619943488899,Dedicated COVID Health Center / DCHC,Ambajogai,20.0,9881416477,2,Dr.Thorat,Nodal Officer,4,Private,drsathorat@gmail.com
74,0,431122,,1,Tidke Hospital Beed,0,0,Beed,Maharashtra,Beed,6,38854,5,1619930628233,Dedicated COVID Hospitals / DCH,Beed,28.0,9823089899,13,Dr.Varsha Ambrushi Munde,Nodal Officer,0,Private,info@tidkehospital.com
75,0,414203,,25,Trauma Care Ashti (Old Building),0,0,Ashti,Maharashtra,Beed,55,15375,41,1619932252133,Dedicated COVID Health Center / DCHC,Ashti,80.0,9158555545,37,Dr.Tekade,Nodal Officer,0,Government,rhashti9@gmail.com
76,0,431127,,0,Trauma Care Unit Georai,0,0,Georai,Maharashtra,Beed,50,15341,0,1619943644944,Dedicated COVID Health Center / DCHC,Georai,30.0,9822232678,0,Dr.Shinde,Nodal Officer,0,Government,sdh.georai@gmail.com
77,0,431122,,36,Veer Hospital Beed,0,0,Beed,Maharashtra,Beed,0,38849,0,1619941049575,Dedicated COVID Hospitals / DCH,Beed,36.0,9822190769,0,Dr.Sanjay Veer,Nodal Officer,0,Private,veerhospitalbeed@gmail.com
78,0,431122,,100,Vithai Hospital & Research Centre Beed,4,0,Beed,Maharashtra,Beed,0,51023,20,1619014019456,Dedicated COVID Hospitals / DCH,Beed,100.0,9326252550,50,Dr.Amol Lahane,Nodal Officer,0,Private,vithaihospitalbeed@gmail.com
79,0,431122,,0,Vithai Hospital & Research Centre Beed,0,2,Beed,Maharashtra,Beed,58,51024,10,1618897147942,Dedicated COVID Health Center / DCHC,Beed,60.0,8308808412,10,Dr.Amol Lahane,Nodal Officer,1,Private,vithaihospitalbeed@gmail.com
80,0,431122,,0,Vivekanand MultiSpeciality Hospital Beed,0,4,Beed,Maharashtra,Beed,8,38475,0,1619945761590,Dedicated COVID Hospitals / DCH,Beed,40.0,9623253900,0,Dr.Sandip Yeole,Nodal Officer,3,Private,rohittoshniwal83@gmail.com
81,0,431131,,9,Vyakantesh Lawns Majalgaon,0,8,Majalgaon,Maharashtra,Beed,8,51025,0,1619939039518,Dedicated COVID Center / DCCC,Majalgaon,35.0,9422932507,55,Dr.Gajanan Rudrawar,Nodal Officer,6,Government,rh.majalgaon2012@gmail.com
82,0,431517,,0,"Womens Hospital, Lokhandi Ambajogai",0,20,Ambajogai,Maharashtra,Beed,287,15389,117,1619943787832,Dedicated COVID Hospitals / DCH,Ambajogai,300.0,7588177678,182,Dr.Aruna Kendre,Nodal Officer,20,Government,dchlokhandi@gmail.com/mswhambajogai@gmail.com
83,0,431131,,0,"Yashwant Hospital & Critical Care, Majalgaon",0,15,Majalgaon,Maharashtra,Beed,60,15744,12,1619943945576,Dedicated COVID Health Center / DCHC,Majalgaon,60.0,9881717147,0,Dr.Yashvant Rajebhosale,Nodal Officer,10,Private,yashrajsolanke2721@gmail.com
84,0,431122,,200,"Yashwantrao Chavan Polytechnic College, Beed",0,0,Beed,Maharashtra,Beed,0,33498,0,1619923843829,Dedicated COVID Center / DCCC,Beed,300.0,8329207408,0,Dr.Arshiya Shaikh,Nodal Officer,0,Government,cs_beed@rediffmail.com
85,0,431122,,0,Yashwantrao Jadhav Memorial Hospital Beed,0,0,Beed,Maharashtra,Beed,7,38850,0,1619937169409,Dedicated COVID Hospitals / DCH,Beed,28.0,7219011995,4,Dr.Abhishek Jadhav,Nodal Officer,0,Private,abhishekjadhavbeed@gmail.com
86,0,431123,,2,Yogita Nursing Home Kaij,0,15,Kaij,Maharashtra,Beed,38,38538,0,1619934319728,Dedicated COVID Hospitals / DCH,Kaij,40.0,9422652572,0,Dr.Dinkar Raut,Nodal Officer,13,Private,dr.dinkarraut@gmail.com
87,-1,431517,5.0,5,Mauli Hospital Ambajogai,-1,0,Ambajogai,Maharashtra,Beed,5,39550,-1,0,Dedicated COVID Health Center / DCHC,,,9423470862,-1,Dr.Ambadas Gunnal,Nodal Officer,0,Private,maulihospital@gmail.com
88,0,431517,100.0,100,Manavlokh Sanstha Ambajogai,0,0,Ambajogai,Maharashtra,Beed,0,39575,0,1619944563194,Dedicated COVID Center / DCCC,,,8788813896,28,Dr. Pradeep Deshmukh,Nodal Officer,0,Govt,msrhdh@gmail.com
89,0,431517,5.0,5,Mauli Bal Rugnalay Ambajogai,0,0,Ambajogai,Maharashtra,Beed,0,39554,2,1619946543234,Dedicated COVID Health Center / DCHC,,,9423470862,3,Dr. Ambadas Gunnal,Nodal Officer,0,Private,msrhdh@gmail.com
90,0,431517,50.0,50,Vasundara Mahavidyalaya Ghatnandur,0,0,Ambajogai,Maharashtra,Beed,0,51026,0,1619873498918,Dedicated COVID Center / DCCC,,,,11,Dr.Vilas Morale,Nodal Officer,0,Govt,msrhdh@gmail.com
91,0,413249,100.0,70,RH Ashti,0,0,Ashti,Maharashtra,Beed,30,51027,0,1619945779314,Dedicated COVID Health Center / DCHC,,,9158555546,0,Dr.Tekade,Nodal Officer,0,Govt,rhashti9@gmail.com
92,0,431122,20.0,0,Pulse Hospital Beed,0,0,Beed,Maharashtra,Beed,13,39340,0,1619936419602,Dedicated COVID Hospitals / DCH,,,9920027363,0,Dr.Waghmare,Nodal Officer,7,Private,pulsehospitalbeed@gmail.com
93,0,431124,100.0,100,Kasturba Gandhi Vidalay Dharur,0,0,Dharur,Maharashtra,Beed,0,51028,0,1619943484295,Dedicated COVID Center / DCCC,,,9970993949,10,Dr.Amol Dube,Nodal Officer,0,Govt,msdharur@gmail.com
94,0,431131,25.0,10,Munde Hospital Majalgaon,0,0,Majalgaon,Maharashtra,Beed,10,39369,25,1619939374506,Dedicated COVID Health Center / DCHC,,,9158915818,0,Dr.Shivaji Munde,Nodal Officer,5,Private,mundeshivaji2@gmail.com
95,-1,431131,100.0,70,Majalgaon Covid Hospital Majalgaon,-1,0,Majalgaon,Maharashtra,Beed,25,39370,-1,0,Dedicated COVID Hospitals / DCH,,,9422240372,-1,Dr.Sharad Pawar,Nodal Officer,0,Private,majalgaoncovidhospital@gmail.com
96,3,431131,15.0,0,Yogiraj Hospital Majalgoan,2,0,Majalgaon,Maharashtra,Beed,0,39368,4,1619941894230,Dedicated COVID Hospitals / DCH,,,8605155105,6,Dr.Parmeshwar Rathod,Nodal Officer,8,Private,parmeshwarrathod@gmail.com
97,0,431131,100.0,100,Shiv Pratap Mangal Karyalay Majalgaon,0,0,Majalgaon,Maharashtra,Beed,0,39574,0,1619938958351,Dedicated COVID Center / DCCC,,,8806498187,68,Dr Yashwant Gandge,Nodal Officer,0,Govt,rh.majalgaon2012@gmail.com
98,0,431515,50.0,0,SDH Parali,0,0,Parali,Maharashtra,Beed,50,15336,0,1619938623780,Dedicated COVID Health Center / DCHC,,,7972000565,0,Dr.Kurme,Nodal Officer,0,Govt,mssdhparliv@gmail.com
99,-1,431515,60.0,60,Saptashrungi COVID Care Centre,-1,0,Parali,Maharashtra,Beed,0,39564,-1,0,Dedicated COVID Center / DCCC,,,8857969160,-1,Dr.Mahesh Ban,Nodal Officer,0,Private,banmahesh21@gmail.com
100,0,431523,20.0,0,Excel Care COVID Center Patoda,0,0,Patoda,Maharashtra,Beed,0,39577,3,1619931974571,Dedicated COVID Health Center / DCHC,,,9130512299,8,Dr. Rohan Thombe,Nodal Officer,0,Private,excelcovidcarecenter@gmail.com
101,-1,431523,10.0,3,Moreshwar General Hospital Parali,-1,0,Patoda,Maharashtra,Beed,4,39578,-1,0,Dedicated COVID Health Center / DCHC,,,9822782314,-1,Dr. V. Baheykar,Nodal Officer,3,Private,moreshwarhospital@gmail.com
